Significant,pvalue,Difference,Protein.Group,Protein.Ids,Protein.Names,Genes
,0.455454862,0.235710144,Q99614,Q99614,TTC1_HUMAN,TTC1
,0.477901123,0.235554059,Q53HV7,Q53HV7,SMUG1_HUMAN,SMUG1
,0.618331708,0.235175451,Q8IZH2;Q8IZH2-2,Q8IZH2;Q8IZH2-2;Q8IZH2-3,XRN1_HUMAN,XRN1
,1.038354626,0.235174179,P12268,P12268,IMDH2_HUMAN,IMPDH2
,0.692173461,0.234297434,A1L0T0,A1L0T0,HACL2_HUMAN,ILVBL
,1.243921732,0.233755112,P35268,P35268,RL22_HUMAN,RPL22
,1.626906663,0.233244578,P61960,P61960,UFM1_HUMAN,UFM1
,1.546808129,0.232121785,Q86X55;Q86X55-1,Q86X55;Q86X55-1;Q86X55-2,CARM1_HUMAN,CARM1
,0.505958461,0.232093175,Q8IUD2-2;Q8IUD2-4,Q8IUD2;Q8IUD2-2;Q8IUD2-3;Q8IUD2-4;Q8IUD2-5,RB6I2_HUMAN,ERC1
,0.368420834,0.231994311,Q7Z422;Q7Z422-2;Q7Z422-3;Q7Z422-4;Q7Z422-5,Q7Z422;Q7Z422-2;Q7Z422-3;Q7Z422-4;Q7Z422-5,SZRD1_HUMAN,SZRD1
,0.584863661,0.231916428,Q7LGA3;Q7LGA3-2,Q7LGA3;Q7LGA3-2;Q7LGA3-3,HS2ST_HUMAN,HS2ST1
,1.316307424,0.231813431,Q6ICG6;Q6ICG6-2;Q6ICG6-3,Q6ICG6;Q6ICG6-2;Q6ICG6-3,K0930_HUMAN,KIAA0930
,1.057984944,0.231781642,Q6P3R8,Q6P3R8,NEK5_HUMAN,NEK5
,1.280061445,0.231208801,O00442;O00442-2,O00442;O00442-2,RTCA_HUMAN,RTCA
,0.298433914,0.229647954,Q96MH2,Q96MH2,HEXI2_HUMAN,HEXIM2
,1.556251301,0.229077021,Q13596;Q13596-2,Q13596;Q13596-2;Q13596-3,SNX1_HUMAN,SNX1
,0.974166987,0.227713267,Q96AY4,Q96AY4,TTC28_HUMAN,TTC28
,1.617802445,0.227304459,Q8N5S9;Q8N5S9-2,Q8N5S9;Q8N5S9-2,KKCC1_HUMAN,CAMKK1
,0.809628652,0.227170308,Q9BVK2;Q9BVK2-2,Q9BVK2;Q9BVK2-2,ALG8_HUMAN,ALG8
,0.857525383,0.22606341,Q96K12,Q96K12;Q96K12-2,FACR2_HUMAN,FAR2
,1.462376058,0.225833893,P20839;P20839-2;P20839-3;P20839-4;P20839-5;P20839-6;P20839-7,P20839;P20839-2;P20839-3;P20839-4;P20839-5;P20839-6;P20839-7,IMDH1_HUMAN,IMPDH1
