#GeneID,Symbol,GeneInfo,# elements 1,casTLE Effect 1,casTLE Score 1,# elements 2,casTLE Effect 2,casTLE Score 2,Combo casTLE Effect,Combo casTLE Score,casTLE p-value,Minimum Effect Estimate,Maximum Effect Estimate
ENSG00000198056,PRIM1,"primase, DNA, polypeptide 1 (49kDa)",10,1.4,3.82,9,-1.6,18.2,-1.6,17.7,0.016,-2.9,-1.2
ENSG00000141497,ZMYND15,"zinc finger, MYND-type containing 15",10,0,0,10,1.6,20.1,1.5,17.7,0.016,0.7,3
ENSG00000170215,FAM27B,"family with sequence similarity 27, member B",7,-1.1,6.28,6,-1.3,12.1,-1.2,17.7,0.016,-1.9,-0.9
ENSG00000203852,HIST2H3A,"histone cluster 2, H3a",2,1,8.05,2,1.9,15,1.8,21.3,0.0161,1.4,3
ENSG00000186092,OR4F5,"olfactory receptor, family 4, subfamily F, member 5",8,-1.1,20.1,8,0.8,5.08,-1.1,22.4,0.0163,-1.7,-0.7
ENSG00000125352,RNF113A,ring finger protein 113A,10,-1,18.6,10,0.9,16.5,-0.9,22.4,0.0163,-1.5,-0.6
ENSG00000123933,MXD4,MAX dimerization protein 4,10,1.6,22.1,10,0.6,2.28,1.5,21.2,0.0164,0.3,2.8
ENSG00000253626,EIF5AL1,eukaryotic translation initiation factor 5A-like 1,10,1.1,11.8,10,1.1,9.8,1.1,21.2,0.0164,0.6,1.6
ENSG00000164944,KIAA1429,KIAA1429,10,-1.2,2.56,10,-1.8,20.1,-1.7,21.2,0.0164,-2.8,-1.1
ENSG00000142507,PSMB6,"proteasome (prosome, macropain) subunit, beta type, 6",8,1.2,12.1,8,0.6,8.14,0.8,17.6,0.0164,0.5,1.6
ENSG00000100162,CENPM,centromere protein M,10,-0.8,8.18,10,-2.6,15.8,-2.6,17.6,0.0164,-4.7,-0.9
ENSG00000144231,POLR2D,polymerase (RNA) II (DNA directed) polypeptide D,9,-0.3,1.68,9,1,16.7,1,17.6,0.0164,0.7,1.7
ENSG00000164919,COX6C,cytochrome c oxidase subunit VIc,10,2.1,20.8,10,-1.4,6.14,2.1,17.6,0.0164,1.3,4
ENSG00000105676,ARMC6,armadillo repeat containing 6,10,0,0,10,1.5,21,1.5,17.6,0.0164,0.8,3
ENSG00000267845,DKFZP434A062,uncharacterized LOC26102,10,-0.6,11.4,10,-1.3,8.29,-1,17.6,0.0164,-1.6,-0.5
ENSG00000130204,TOMM40,translocase of outer mitochondrial membrane 40 homolog (yeast),10,-1,6.66,10,-1.6,18.3,-1.5,22.3,0.0166,-2.3,-0.5
ENSG00000100056,DGCR14,DiGeorge syndrome critical region gene 14,9,-1.3,7.77,9,-1.2,13.9,-1.3,21.1,0.0167,-1.9,-0.9
ENSG00000143751,SDE2,SDE2 telomere maintenance homolog (S. pombe),10,-1,15.4,10,-1.7,7.85,-1.1,21.1,0.0167,-2,-0.4
ENSG00000170374,SP7,Sp7 transcription factor,10,-0.7,22.1,10,1.2,7.15,-0.7,21.1,0.0167,-1.3,-0.5
ENSG00000092020,PPP2R3C,"protein phosphatase 2, regulatory subunit B'', gamma",10,-0.6,14,10,-0.4,4.67,-0.6,17.5,0.0168,-1,-0.3
ENSG00000126091,ST3GAL3,"ST3 beta-galactoside alpha-2,3-sialyltransferase 3",10,0.7,15.2,10,0.4,3.74,0.6,17.5,0.0168,0.4,1.4
ENSG00000167967,E4F1,E4F transcription factor 1,10,0.5,5.88,10,0.5,11.9,0.5,17.4,0.017,0.3,0.9
ENSG00000182154,MRPL41,mitochondrial ribosomal protein L41,10,-1.2,16.2,10,-2.2,5.61,-2.2,17.4,0.017,-3.2,-0.8
ENSG00000101639,CEP192,centrosomal protein 192kDa,10,-1.8,9.92,10,-2.4,9.44,-2.3,17.4,0.017,-3.7,-1.6
ENSG00000104885,DOT1L,DOT1-like histone H3K79 methyltransferase,10,-1,13.9,10,-0.4,7.07,-0.7,17.4,0.017,-1.3,-0.3
ENSG00000100387,RBX1,"ring-box 1, E3 ubiquitin protein ligase",9,1.1,11.1,9,2,9.43,1.8,17.4,0.017,0.7,3.1
ENSG00000157741,UBN2,ubinuclein 2,10,0.7,12,10,1,9.88,0.8,21,0.0171,0.4,1.3
ENSG00000166483,WEE1,WEE1 G2 checkpoint kinase,10,1.5,23.3,10,-0.3,1,1.4,21,0.0171,0.9,2.8
ENSG00000143498,TAF1A,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, A, 48kDa",10,-0.4,1.67,10,-2.1,23.3,-2.1,21,0.0171,-4,-0.6
ENSG00000187866,FAM122A,family with sequence similarity 122A,10,0.5,10.7,10,0.6,10.8,0.6,21,0.0171,0.3,1
ENSG00000139697,SBNO1,strawberry notch homolog 1 (Drosophila),10,-0.6,11.5,10,-0.6,11,-0.6,22.1,0.0173,-0.9,-0.4
ENSG00000103363,TCEB2,"transcription elongation factor B (SIII), polypeptide 2 (18kDa, elongin B)",10,0.6,10.7,10,1.5,15,0.6,22.1,0.0173,0.5,1.7
ENSG00000113460,BRIX1,"BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)",10,0.5,6.53,10,0.6,16.4,0.6,22.1,0.0173,0.4,0.9
ENSG00000180104,EXOC3,exocyst complex component 3,10,-0.5,2.4,10,0.8,20.8,0.7,22.1,0.0173,0.5,1.3
ENSG00000088205,DDX18,DEAD (Asp-Glu-Ala-Asp) box polypeptide 18,10,-1.3,13.6,10,-0.6,6.01,-0.7,17.3,0.0174,-1.8,-0.4
ENSG00000121741,ZMYM2,"zinc finger, MYM-type 2",10,0.5,12,10,0.4,6.2,0.5,17.3,0.0174,0.3,0.8
ENSG00000129993,CBFA2T3,"core-binding factor, runt domain, alpha subunit 2; translocated to, 3",10,-0.8,9.5,10,-0.6,8.4,-0.8,17.3,0.0174,-1.3,-0.5
ENSG00000117697,NSL1,"NSL1, MIS12 kinetochore complex component",10,-1,4.12,10,-1,13.5,-1,17.3,0.0174,-1.6,-0.6
ENSG00000185359,HGS,hepatocyte growth factor-regulated tyrosine kinase substrate,10,0.5,7.97,9,1.4,18.7,1.3,20.9,0.0176,0.5,2.1
ENSG00000124019,FAM124B,family with sequence similarity 124B,10,1.5,22.6,10,0.4,1.56,1.4,20.9,0.0176,0.8,2.8
ENSG00000268788,AC110615.1,N/A,5,-1.3,18,5,0.8,19.1,0.8,22,0.0178,0.4,1.9
