Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ACAT2,10.97962993,3.296667259,4.573656065,8.60197959,3.883306418
ACBD3,8.436012814,NA,NA,6.221297988,3.795434647
ACBD4,246.107806,2.221020569,3.329336175,5.946873883,6.353289705
ACBD5,4.472411979,0.244480882,NA,7.362932745,2.761283163
ACBD6,81.96788994,3.975188062,3.987681319,19.92520163,5.211705897
ACBD7,11.82998311,NA,55.12001165,15.31756731,NA
ACCS,5.120511681,0.892714629,0.960816075,2.170439025,5.687290595
ACD,186.476361,7.880936004,8.372092832,15.69439236,21.135324
ACE2,NA,NA,NA,NA,2.256675489
ACER2,9.106029747,NA,NA,1.538058244,4.006338434
ACER3,NA,1.524222967,5.47023988,2.688920004,15.42989339
ACE,8.702908526,1.671921167,3.295655451,3.708303765,31.57855628
ACHE,5.732414003,2.275792166,1.534401395,1.854454132,8.518973827
ACIN1,18.5716797,2.476058115,3.223010373,9.472711907,3.563182176
ACLY,11.21949607,1.49542494,2.04104697,4.428081731,3.771639298
ACO1,26.37951728,4.032021367,4.519958222,7.378113419,16.59116192
ACO2,46.64631563,4.477167798,5.469917523,10.36667512,5.456546528
ACOT11,1.466776184,NA,1.658643043,1.245476582,0.550067054
ACOT13,NA,22.14675346,11.09314445,NA,6.00828804
ACOT1,16.49401541,5.466746713,13.39021063,53.10499088,2.666148557
