Table S1. Endogenous mRNA stability,,,,,
,,,,,
All half-lives are in hours,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 1 and 4,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cell lines 2 and 3,,,,,
Cell lines 1 and 4: Endogenous mRNA half-lives calculated with cel lines 5 and 6,,,,,
DMSO: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with DMSO,,,,,
4EGI-1: Endogenous mRNA half-lives calculated with cell lines 1 and 4 treated with 4EGI-1,,,,,
,,,,,
Gene.Name,Cell lines 1 and 4,Cell lines 2 and 3,Cell lines 5 and 6,DMSO treatment,4EGI-1 treatment
ATP1B1,3.967105338,0.346270108,0.309972014,4.285484568,3.746775648
ATP1B2,12.53878427,NA,0.884949574,61.80176766,NA
ATP1B3,NA,12.00186689,96.88619039,NA,5.668524082
ATP2A1,38.39302736,3.642315433,4.6981913,NA,1.230178252
ATP2A2,9.760994173,0.771560435,0.929431099,4.883880446,5.443684051
ATP2A3,188.927875,2.989512918,4.686757424,11.51186184,3.031576996
ATP2B1,4.969777787,NA,NA,3.139786209,5.772953538
ATP2B4,13.85746561,1.019578804,1.204551925,5.401302799,5.797424783
ATP2C1,21.68592412,1.158727795,1.546456013,9.369567853,8.755060004
ATP5A1,NA,NA,35.12965556,NA,12.85270337
ATP5B,NA,NA,NA,NA,9.84991874
ATP5C1,NA,19.63638791,NA,NA,35.73164962
ATP5D,NA,NA,63.11851635,22.64823617,5.407193907
ATP5E,NA,NA,NA,NA,7.936529158
ATP5F1,187.3734007,6.065566327,23.27995216,NA,8.66565888
ATP5G1,NA,NA,NA,NA,6.293208207
ATP5G2,NA,NA,NA,NA,13.80087957
ATP5G3,33.15416217,20.48833641,NA,NA,13.08354254
ATP5H,NA,NA,NA,NA,14.27485974
ATP5I,NA,NA,NA,NA,67.76339723
ATP5J2-PTCD1,4.888142204,16.53202427,NA,4.700604118,NA
ATP5J2,NA,NA,NA,NA,17.94492776
ATP5J,31.84965796,10.77958509,42.74667822,NA,7.266663516
ATP5L,NA,NA,NA,NA,21.14027684
ATP5O,NA,23.8257014,37.02033812,NA,15.95470706
ATP5SL,22.85280131,5.6590684,9.374873535,12.388692,10.52093878
ATP5S,4.960448029,1.041934976,2.642356723,3.531116753,3.965777652
ATP6AP1L,7.985925101,NA,NA,NA,3.159382438
ATP6AP1,NA,NA,88.3437879,NA,6.754084791
ATP6AP2,NA,12.14987916,NA,NA,11.96307767
ATP6V0A1,NA,7.402503482,18.89843669,58.25700071,4.349819999
ATP6V0A2,4.466968059,NA,0.424208643,1.181224091,2.295377208
ATP6V0B,NA,NA,NA,NA,9.565115056
ATP6V0C,1278.859427,NA,NA,1983.62363,8.184061624
ATP6V0D1,2441.67248,18.84072805,45.24533265,NA,2.991816471
ATP6V0E1,6.258613542,1.490230917,1.512201047,9.42053081,3.09318567
ATP6V0E2,202.1806833,298.9986926,28.13328415,33.5184794,3.694352567
ATP6V1A,5.272323188,NA,0.275670224,3.865841071,2.789492678
ATP6V1B1,3.179582492,0.713730592,1.829101397,1.211540886,1.361485147
ATP6V1B2,24.49728632,0.717280179,1.111033149,10.14827746,4.598559728
ATP6V1C1,21.52773276,0.640507015,0.82396308,29.71149468,5.534050528
ATP6V1D,15.74235166,1.694518016,2.827055642,NA,97.77227756
ATP6V1E1,38.55458111,4.103688611,7.74505807,482.4105795,8.291435384
ATP6V1E2,4.651152258,2.736467036,2.066388157,12.14126867,3.017344893
ATP6V1F,NA,13.82091815,24.94617169,48.27737083,15.86393546
ATP6V1G1,33.05409921,NA,6.898966621,NA,9.203664563
ATP6V1H,13.17841477,1.325978251,1.365683379,7.009355254,5.919649777
ATP7A,3.951858806,NA,NA,2.014576066,3.181991069
ATP7B,5.447580728,NA,0.50426214,2.022251405,4.919604133
ATP8A1,4.271409907,NA,NA,1.265833494,3.430964074
ATP8B1,NA,NA,NA,NA,24.41120494
ATP8B2,11.21569973,0.473150797,0.824676279,4.734679279,3.492000825
ATP8B3,4.957746816,NA,NA,1.496607598,0.332944082
ATP9A,10.68473176,0.89571027,0.900870377,4.396381379,3.915175852
ATP9B,16.07575236,1.012660574,1.237042259,2.671510062,5.092993716
ATPAF1,NA,65.51837993,98.19021813,NA,4.471660153
ATPAF2,9.482286164,2.768838959,1.644194684,5.432198485,8.060538791
ATPIF1,NA,38.04176946,NA,NA,6.399149872
ATRAID,342.9579492,11.33478555,18.47900186,50.90354664,6.873524474
ATRIP,4.604803573,0.439353954,0.734273736,1.862998809,1.433948358
ATRNL1,28.88231529,NA,0.66465615,4.424711928,6.977586155
ATRN,9.736086473,0.376735979,0.578262382,5.083407356,3.624795711
ATRX,6.882716903,NA,NA,4.472993647,18.72989528
ATR,5.312808229,NA,NA,1.8332244,4.641271027
ATXN10,5.251099769,1.567721613,1.733575906,2.423450433,9.426906848
ATXN1L,3.869888747,NA,0.254803949,3.749480569,3.110419312
ATXN1,5.920697147,NA,NA,NA,2.037978917
ATXN2L,20.48135357,1.90323884,2.005004999,6.840542622,4.772763694
ATXN2,5.660463291,NA,0.223787096,2.736599144,4.791639442
ATXN3,36.53516962,0.25007284,1.078016373,67.92299057,18.77883422
ATXN7L1,5.706945009,NA,NA,2.148425701,0.614283381
ATXN7L2,3.499793386,0.517116097,0.692494963,2.491013151,9.139376503
ATXN7L3B,6.374753567,0.396052638,0.589261376,6.899989612,3.135190225
ATXN7L3,14.03803203,1.819236384,2.681949734,10.90806002,2.750947405
ATXN7,6.627332708,NA,NA,3.032416004,2.573679766
AUH,39.75210547,1.499720653,1.725334765,18.78749116,6.540667916
AUNIP,4.247642637,0.171389711,0.560454215,3.596370581,3.85423352
AUP1,27.02747226,10.57912859,10.12071364,20.84731049,7.539416658
AURKAIP1,14.4302756,8.293586463,9.004214167,6.904085034,9.736195288
AURKA,39.21925537,1.327099821,1.628484649,23.29914356,1.966074912
AURKB,33.10664639,9.475246956,17.28580481,56.67400892,8.742785817
AURKC,NA,NA,3.232755702,61.78507963,7.292129688
AUTS2,3.149213657,0.420558925,0.400465636,2.596022315,1.195400045
AVEN,21.41004784,2.365939621,3.831475759,4.238310847,3.597157231
AVL9,8.670514849,NA,0.328471788,4.689981474,3.119297442
AVPI1,5.653053422,2.733872996,0.965106253,4.019300833,2.639898415
AXIN1,12.38330106,2.032721382,2.334511432,5.095186055,3.234710551
AXIN2,2.454961621,NA,NA,2.139180126,1.338157994
AZI2,14.80073727,0.51708231,0.605847069,14.10540584,9.836125454
AZIN1,9.087893489,0.396646856,0.257129587,4.668223577,2.358360549
AZIN2,240.2504549,NA,5.070880025,7.721073283,4.257328579
B3GALNT2,8.128444011,0.732071301,1.001227151,7.385942594,2.418758466
B3GALT1,2.345904204,NA,NA,NA,0.680058482
B3GALT6,NA,3.817271029,1.441131925,1.128139241,NA
B3GAT3,53.99113865,12.74806483,21.74278843,15.41998495,4.730535932
B3GLCT,6.131107787,0.576737295,0.701168773,2.720329014,2.698607269
B3GNT2,2.845066643,NA,NA,2.267679016,2.376136504
B3GNT4,1.689348561,0.544814819,0.399487816,0.971991569,1.044771289
B3GNT5,4.904235983,NA,NA,2.027478594,8.183186686
B3GNT8,15.41226784,1.809445252,NA,NA,NA
B3GNT9,NA,NA,6.314540779,34.16584774,NA
B4GALNT1,NA,3.261136041,5.793182075,14.57000576,20.49331983
B4GALNT3,5.504453942,0.996192631,1.224141167,2.32146739,5.632948589
B4GALNT4,72.1064391,7.282061194,4.606999392,6.07858924,23.60415346
B4GALT1,7.724674467,0.445827034,0.317817014,4.229683553,3.183965651
B4GALT2,13.45789105,3.272116039,3.769210231,4.98738169,4.691507895
B4GALT3,97.07954051,4.809394822,6.645728256,43.30213472,9.768308167
B4GALT4,10.66637562,0.383360389,0.788726607,7.388880724,4.387889035
B4GALT5,4.965024823,0.171327201,0.345112699,5.36119853,3.375494522
B4GALT6,29.58732829,0.156540821,1.074623149,20.76672775,1.811747842
B4GALT7,6.585448661,NA,2.3734517,3.048721183,2.219180487
B4GAT1,9.080738416,2.678812072,2.887319311,6.286986018,2.750945783
B9D1,15.56784765,3.968467245,3.776285288,3.722633673,4.348160563
B9D2,NA,1.760947018,7.000817619,158.7877432,NA
BABAM1,NA,NA,82.04844443,NA,8.203672261
BACE1,37.51054811,5.474450784,6.149525747,31.23939516,3.026686697
BACE2,245.0979532,5.347535605,6.636699632,14.86799845,8.884526542
BACH1,2.854263799,NA,NA,2.441160461,2.969497108
BACH2,5.080266131,NA,NA,4.492106552,1.58441573
BAD,NA,NA,NA,NA,873.2964935
BAG1,34.55769701,24.7970378,38.89887427,NA,5.895727857
BAG2,3.26403233,NA,0.266456307,3.822433983,2.704205661
BAG3,4.452284802,1.12880095,1.31126081,4.972644685,3.160380211
BAG4,5.273920713,NA,NA,4.606653993,2.509605523
BAG5,2.54476216,NA,NA,1.86009219,1.443007073
BAHCC1,6.936487683,0.751923652,0.673321036,1.857159338,1.110455354
BAHD1,6.555801845,0.958888873,1.317661227,5.327969606,3.852946734
BAIAP2L1,14.53239944,1.653332827,2.596419939,6.840122927,14.31686646
BAIAP2,5.326142662,0.942975758,0.830382214,2.596020344,13.32113357
BAIAP3,NA,1.745501915,1.746733234,8.515237963,1.439324365
BAK1,662.089066,10.26641327,12.09251791,47.01466678,5.34330637
BAMBI,0.997055849,NA,NA,3.415419816,0.160880217
BANF1,NA,NA,NA,NA,78.76765541
BANP,216.6483598,1.731391775,4.292307046,2097.17705,24.20388664
BAP1,NA,7.212919404,8.204400391,13.05297701,5.018866248
BARD1,7.854999304,NA,NA,4.292077643,1.856813602
BARHL2,2.426839842,0.89928198,1.078677825,3.394566209,2.990073923
BARX1,18.16382874,5.810321305,9.886051468,14.74552423,7.426840374
BARX2,14.8894197,3.016774975,4.558150014,62.07975838,NA
BASP1,30.05738312,1.578294644,2.325323534,27.70265991,NA
BATF2,8.309009343,0.961648755,NA,NA,NA
BATF3,40.23246249,9.93241753,7.224956333,84.98246394,2.330332599
BAX,28.18920129,7.569447546,8.588711392,17.10130651,3.20049975
BAZ1A,2.978754321,NA,NA,1.445623832,2.350165595
BAZ1B,6.470073412,0.364591536,0.604423917,4.797069833,3.275840741
BAZ2A,14.79272259,0.946412587,1.17079631,7.597069171,5.303029493
BAZ2B,8.051830962,NA,NA,10.46417023,2.984507478
BBC3,NA,5.189488128,1.507593088,4.507289092,4.073122426
BBIP1,21.65460098,3.558416758,3.086547132,12.76260323,13.40662345
BBOF1,16.36141058,0.837098593,2.150310014,24.58666877,1.159288504
BBS10,5.461906863,NA,NA,3.315823234,1.74668017
BBS12,4.549138013,NA,NA,2.557075187,1.125642143
BBS1,10.32068328,1.58435678,1.596891723,3.149099274,6.138883512
BBS2,17.22753048,0.703360847,1.092045689,3.469217491,7.578057528
BBS4,28.95148402,2.056130588,2.49615068,9.485553178,6.842002377
BBS5,5.08395903,0.472793153,NA,2.94789578,1.452324723
BBS7,11.70096884,0.789159131,0.762979706,5.236468317,5.640747726
BBS9,22.60410122,2.298317004,2.126562142,42.58189604,5.084787886
BBX,5.343864182,NA,NA,5.307426576,3.389620502
BCAM,NA,8.329595799,15.09862144,73.97132017,6.742921253
BCAP29,26.76604641,1.108266499,1.450536291,9.41095068,6.377104909
BCAP31,NA,NA,NA,NA,20.81054692
BCAR1,6.391815512,1.11378236,1.644113712,2.760578206,2.746430923
BCAR3,4.269563365,NA,0.137220297,2.926561978,2.351124071
BCAS2,4.338049089,NA,0.425115778,5.709355144,4.269179372
BCAS3,67.10986632,2.225669744,2.042794241,5.201205189,5.920918593
BCAS4,21.58220932,7.016716361,3.056919013,12.87792052,84.01753667
BCAT1,19.91970301,1.945347681,6.006593152,27.94166021,4.207089315
BCAT2,NA,NA,NA,NA,5.721162326
BCCIP,18.54341191,1.863715531,2.764079158,1461.345094,6.228174924
BCDIN3D,2.336963686,NA,0.1833653,2.24920909,0.630768801
BCHE,NA,0.509836366,0.782994497,NA,NA
BCKDHA,NA,NA,21.66953955,91.92330479,20.36282964
BCKDHB,4.226786338,1.754830463,1.630672172,3.072102272,3.678427141
BCKDK,10.45377157,2.854506313,2.553846006,7.685430199,9.371159578
BCL10,3.427439288,NA,NA,5.524328975,1.628322977
BCL11A,17.0740169,0.66250636,1.945204174,NA,1.107567898
BCL11B,0.979867646,NA,NA,2.656324286,NA
BCL2L11,1.803055166,NA,NA,1.454622592,5.733810554
BCL2L12,NA,11.09810724,20.90571228,147.7898252,4.303763438
BCL2L13,8.083851423,1.266139921,1.44292313,5.172154779,3.361519475
BCL2L1,4.399381399,1.17581502,1.124145774,6.273071419,2.569493629
BCL2L2,7.039647134,NA,1.082576271,5.266120567,5.328847813
BCL2,4.036462247,NA,NA,NA,NA
BCL3,4.850111998,3.418036444,NA,4.166021256,6.726709964
BCL6B,2.522607317,0.613464928,0.624853964,3.986382917,5.107312447
BCL6,6.073375074,NA,NA,4.870566758,3.270115652
BCL7A,7.453846809,0.689690686,0.648405184,5.150858612,2.986595408
BCL7B,5.023027565,0.732234619,0.756465526,5.118003022,3.278634285
BCL7C,NA,NA,NA,NA,11.83319523
BCL9L,8.009546338,1.05201115,1.433181043,5.705968978,4.054346824
BCL9,4.078222145,NA,0.35349772,4.72113825,1.901156198
BCLAF1,5.309736483,NA,NA,14.29154405,5.550479406
BCO2,NA,2.757114342,2.249475401,NA,12.59475397
BCORL1,10.5103538,0.787973125,1.099523455,8.380866834,4.184955112
BCOR,3.514424903,NA,NA,2.618518703,0.693730258
BCR,5.093589284,0.861314344,0.89770993,3.789752591,3.534791715
BCS1L,61.99167989,10.44211131,10.23053108,29.83020448,3.153161977
BDH2,9.355647014,3.12636403,2.015065772,4.91461357,4.041764696
BECN1,90.84547065,2.524092952,3.736392336,29.05379155,5.369416871
BEGAIN,20.97674382,NA,NA,1.889263878,NA
BEND3,2.466249667,NA,NA,1.765438024,0.8523608
BEND4,4.884797917,NA,0.742746305,3.495886491,11.82465586
BEND5,3.746783554,NA,NA,NA,NA
BEND7,17.42682157,0.771124625,1.631149323,9.585731681,11.71487645
BET1L,3.388230481,0.548167549,0.901498107,1.886493743,2.774080545
BET1,14.02893501,NA,0.857099855,16.28778953,6.186414404
BEX1,9.535190755,14.70752413,171.5331588,168.4920059,3.953356915
BEX2,67.73539135,21.76046019,53.95362334,NA,9.57259268
BEX3,NA,297.3857036,NA,NA,6.382696672
BEX4,8.619206184,1.561424883,1.858412627,85.2603148,4.670150947
BEX5,NA,NA,NA,NA,6.059226494
BFSP1,4.258747733,0.677132808,1.21988763,1.288520981,2.213998624
BGLAP,NA,NA,NA,13.14248562,NA
BHLHB9,39.42486952,0.700341218,NA,NA,3.463390457
BHLHE40,2.210424367,NA,NA,1.669697786,3.003288969
BHLHE41,5.231746745,0.827487174,1.271357296,7.674458488,2.206115677
BHMG1,3.070901093,1.742363845,NA,NA,2.070658292
BICC1,3.303979381,NA,NA,1.390736793,1.335490162
BICD1,4.688047689,0.452036633,0.651822406,3.942122088,1.626323134
BICD2,10.72423235,1.010660483,1.285627958,11.18409528,3.490472438
BICDL1,9.726050818,3.350107954,6.517670079,53.00133261,3.887858231
BID,NA,10.52214666,9.895268551,29.31217124,24.56861521
BIK,1.154125362,NA,NA,NA,NA
BIN1,NA,11.88236632,10.09331315,15.72674105,21.6099508
BIN3,9.411861355,1.442025583,1.577519476,4.609807633,7.65280773
BIRC2,8.974507957,NA,NA,7.331637462,2.733075525
BIRC3,7.019400378,NA,NA,4.46066215,NA
BIRC5,1189.10319,16.7061236,26.87565396,NA,7.372340902
BIRC6,4.25060451,NA,NA,2.028938722,5.606345981
BIVM,6.10846442,NA,NA,1.003400656,4.263017068
BLCAP,9.488061357,1.683937839,1.40278456,10.20802239,3.628871172
BLMH,11.21584419,2.089782043,2.774656672,5.057613314,5.202320491
BLM,6.416253273,NA,NA,2.800339199,3.640777474
BLOC1S1,NA,NA,NA,NA,10.25778641
BLOC1S2,14.98427105,1.83779441,2.391801716,21.36398548,4.307180248
BLOC1S3,2.191869765,NA,NA,2.999978708,NA
BLOC1S4,0.972449999,0.542610121,0.287128612,0.729352096,1.052787241
BLOC1S5,7.478919007,NA,0.341391849,3.804420434,2.57523164
BLOC1S6,8.143145548,NA,NA,5.96023947,3.729434154
BLVRA,17.28338929,3.332953683,4.552835813,8.375443818,14.44804258
BLVRB,NA,NA,NA,NA,26.52906657
BLZF1,4.22431031,NA,NA,2.368300827,7.334244093
BMF,9.593637609,NA,NA,2.921914989,NA
BMP1,14.52960982,4.056848066,4.43079286,6.304602309,2.440823465
BMP2K,5.90551109,NA,NA,4.433911821,4.745315413
BMP2,1.02780195,NA,NA,0.74496336,0.206272255
BMP4,3.149506821,0.484818383,0.304657806,NA,NA
BMP6,10.1809161,0.336490314,NA,3.846066992,10.62932317
BMP7,67.69374569,NA,8.433957014,28.77566295,4.095672427
BMP8B,14.00848872,NA,NA,6.916990459,3.384601046
BMPER,3.572074563,NA,NA,NA,0.830434139
BMPR1A,3.645224393,NA,NA,1.624419197,2.945533584
BMPR1B,27.1435617,NA,0.416858214,NA,4.208594491
BMPR2,4.8627248,NA,NA,3.097204159,2.017654853
BMS1,4.209618994,0.303624893,NA,2.513220699,3.760870075
BMT2,4.826996424,NA,NA,6.429425888,2.87435438
BNC1,21.72188557,NA,NA,5.305533862,1.625801774
BNC2,6.819744844,NA,0.500108455,13.19669117,1.664647831
BNIP1,12.92130166,1.935719683,2.560238441,45.26266148,4.773706241
BNIP2,3.212859453,NA,NA,2.93715405,2.623363416
BNIP3L,NA,2.557573857,3.566766667,NA,NA
BNIP3,NA,2.298568978,6.166700815,91.60221282,59.67295037
BNIPL,NA,12.75272289,3.508334697,NA,1.064233322
BOC,7.43514562,1.150795528,1.092092406,5.261505226,NA
BOD1L1,8.643058865,NA,NA,2.29791263,3.645255072
BOD1,10.75516053,1.754596779,2.65444898,6.588521662,6.07166415
BOLA1,2.78048293,3.24748793,2.195828669,1.785188808,2.321332419
BOLA2-SMG1P6,NA,20.15483453,9.644011783,8.558683973,5.673085755
BOLA3,41.48261121,6.912182111,7.175275178,19.39566851,13.34772651
BOP1,13.44135589,2.753643896,2.203327205,3.36936202,8.551177608
BORA,8.197766668,NA,0.275864427,8.775519539,2.860789092
BORCS5,16.91077184,1.431701147,1.580951433,4.246113279,7.897923053
BORCS6,NA,2.490210933,1.615081772,1.460160716,NA
BORCS7,8.802128525,4.737466343,8.691572059,13.812931,4.788584301
BORCS8,13.97661721,32.56984157,5.947453054,5.862727595,4.283211513
BPGM,10.77065885,0.601169458,0.6789156,16.52607522,3.470122565
BPHL,3.191668711,1.874861762,2.494751904,2.676117524,1.195347776
BPNT1,142.3153189,0.904141846,0.711987887,12.0807277,3.91069878
BPTF,4.774140735,NA,NA,2.563502223,3.455256443
BRAF,9.372821061,NA,NA,2.838545023,8.957017868
BRAP,7.789475711,0.650973807,1.015261312,6.699122026,2.688925824
BRAT1,15.32427053,6.332594035,5.385363777,6.026803497,2.863448004
BRCA1,4.322775352,NA,NA,2.757219764,2.016398193
BRCA2,2.582968046,NA,NA,0.645511759,1.381834118
BRCC3,3.740171017,NA,NA,2.459755311,2.117181187
BRD1,4.979950277,0.255018178,0.356247095,3.718934376,2.86278573
BRD3,10.3278856,0.768092224,0.961398118,5.595282927,2.407680466
BRD4,19.58393655,2.492736547,2.538535256,12.68727222,4.977778122
BRD7,19.11006693,1.964721947,3.654313207,10.50685322,13.68657111
BRD8,NA,0.95416116,1.150595303,79.35215597,5.454726306
BRD9,2.316961248,NA,0.275136758,0.774787494,9.09410308
BRE,NA,4.143970916,4.903673137,14.49721959,4.884312139
BRF1,6.016207598,0.744413247,0.969753515,1.556124206,6.08305457
BRF2,2.884514506,NA,0.321807948,2.190003714,2.027554832
BRI3BP,6.54822152,2.387146135,1.727076363,4.763107552,2.47389538
BRI3,225.9653366,15.21406224,40.15468605,170.1554386,8.342492773
BRICD5,21.35896283,14.09682745,3.127964461,10.44194115,1.079036078
BRINP3,3.621840886,NA,NA,14.96534957,0.471166904
BRIP1,4.384434901,NA,NA,2.053262023,1.737751391
BRIX1,3.245029831,NA,NA,2.523503081,2.845854106
BRK1,NA,19.88796155,28.21591027,NA,14.68264751
BRMS1L,6.338049442,NA,NA,2.742436844,NA
BRMS1,28.53354999,6.664857453,9.5917269,15.52922752,3.919203836
BROX,6.396035563,NA,NA,12.5888532,1.74556872
BRPF1,2.778693619,0.244971986,NA,1.772596481,1.946410361
BRPF3,5.496396293,0.140820212,0.359333544,3.835412938,4.120247264
BRSK1,6.981816479,1.007792242,1.338438383,2.500390624,7.128192849
BRSK2,11.24925983,1.141378483,1.254470648,2.506409005,47.21308425
BRWD1,8.912468702,NA,NA,2.505117922,8.588647972
BRWD3,4.398756374,NA,NA,1.43482283,7.092557199
BSCL2,80.19327604,10.39230028,17.70741668,NA,NA
BSDC1,170.5577211,1.869641542,2.375324168,23.5861916,5.08548866
BSG,NA,NA,NA,NA,11.62785572
BSN,6.256937039,0.427460237,0.332003021,1.461882377,4.276408849
BSPRY,17.94299811,NA,NA,NA,NA
BST1,NA,NA,NA,NA,1.235150733
BTAF1,4.610012043,NA,NA,1.54449846,9.902025834
BTBD10,22.54142363,0.440669651,0.86102282,15.91253539,7.284578422
BTBD11,3.337071714,NA,0.380569983,1.031632097,4.11841927
BTBD1,9.794269743,0.656017685,1.402485338,9.044545493,3.915488503
BTBD2,NA,NA,NA,74.76278515,6.136545093
BTBD3,11.59639662,0.198412083,0.478287559,15.80864839,2.50724309
BTBD6,9.791376531,3.214919441,3.273636114,9.532015752,2.312827668
BTBD8,NA,NA,NA,NA,2.805821039
BTBD9,2.85916368,NA,0.324107585,2.300598398,1.610425976
BTD,NA,6.227663851,17.70136887,NA,3.002830255
BTF3L4,14.04484855,2.716212048,3.039051317,21.643337,25.5517492
BTF3,182.7914244,8.966434378,21.41843142,NA,30.44596093
BTG1,2.013244761,NA,0.310716195,2.53416247,1.258490511
BTG2,2.017148847,0.305654252,NA,0.825243638,0.257385885
BTG3,3.289268195,NA,0.222040875,5.139152521,4.928086876
BTK,NA,NA,NA,NA,3.333447457
BTN2A1,14.99738626,0.848156026,1.092576344,26.88670448,3.631108504
BTN2A2,13.03183727,0.817337357,0.971110292,8.10208649,4.90246664
BTN3A1,21.87695206,NA,0.648719025,NA,NA
BTN3A2,67.17694633,6.173995467,5.475847503,NA,3.434675366
BTN3A3,NA,0.345515661,0.586670993,3.56416223,7.159078759
BTNL9,8.326302336,NA,NA,0.480920838,1.248093897
BTRC,6.893259786,NA,0.53602978,5.69206456,6.838406052
BUB1B,7.740416391,NA,0.38188301,3.383913673,5.073633273
BUB1,10.46506518,0.295925784,0.550292744,4.368948176,3.665151875
BUB3,15.18088973,2.436235639,2.830243552,19.13426316,9.926128279
BUD13,3.683006142,0.163981477,0.453556043,2.384242758,3.248630715
BUD31,NA,35.37077733,NA,NA,19.50809882
BVES,NA,NA,0.189468293,NA,NA
BYSL,4.021490155,1.382052391,1.648398683,5.809151612,2.956728908
BZW1,7.289950161,0.810991064,0.800145235,12.96239543,11.59827146
BZW2,5.745541686,0.984394476,1.880585794,5.435884671,4.657244808
C10orf10,0.895660414,NA,NA,0.812529301,NA
C10orf111,1.411630517,NA,NA,NA,NA
C10orf35,9.3528247,1.633725996,1.524473502,9.544871456,27.59834602
C10orf76,2.940978257,0.363397202,0.696590863,1.870678091,2.63329717
C10orf82,4.54752651,NA,1.517779974,2.187297321,NA
C10orf88,8.642424274,0.193024346,0.389288698,6.061484932,2.31511688
C11orf1,18.59926678,11.44190287,18.1118189,22.32178268,6.336430375
C11orf24,3.473789901,0.742285005,0.984390631,2.39167041,1.697532843
C11orf45,4.944470666,NA,NA,11.82861957,NA
C11orf49,NA,16.23039415,11.58691985,NA,NA
C11orf52,2.574733327,NA,NA,NA,NA
C11orf54,36.00912712,0.665540368,2.828687742,27.72698463,4.382780467
C11orf57,15.80206163,0.487612431,0.944159629,20.87282911,3.200831265
C11orf58,31.96605074,2.28657664,3.362605429,NA,7.506264167
C11orf63,10.44974431,1.258208323,1.496545372,9.840948221,2.797233203
C11orf68,4.419073373,4.028265891,2.931099724,3.261025711,2.17405832
C11orf70,NA,NA,NA,NA,3.260746954
C11orf71,2.330240119,0.745014253,0.497921869,1.15691788,0.418998988
C11orf74,NA,2.920052832,6.158818214,NA,NA
C11orf80,5.410534567,0.347596181,2.077766855,2.237897438,6.037428072
C11orf84,10.57719214,3.52640053,4.499226742,8.296217882,3.969771059
C11orf95,4.403256122,0.706890543,0.785394334,2.52587251,3.213789053
C11orf96,NA,NA,NA,NA,19.97209184
C11orf98,10.29949252,3.707231257,4.182520428,11.71136685,1.809811431
C12orf10,823.6942294,28.55565217,NA,NA,7.717652563
C12orf29,12.00977254,1.172981885,1.389706117,25.3502891,4.546857389
C12orf43,2.976829385,0.471398336,1.012240669,2.386275334,3.168274554
C12orf45,10.932428,3.90021539,5.924999287,17.88583857,5.466359519
C12orf49,15.26962711,2.009746989,1.955069468,6.441715891,3.769242184
C12orf4,7.202018691,NA,NA,4.693314052,4.157389262
C12orf57,NA,NA,NA,NA,16.23791284
C12orf60,2.764112099,0.808786928,0.546176338,7.684270145,NA
C12orf65,11.71347952,1.150916284,1.198029842,43.03979307,1.364740805
C12orf66,1.892241484,NA,NA,1.321528749,1.88201251
C12orf73,53.36369674,3.513079404,3.491302024,28.23818563,4.757062202
C12orf75,NA,NA,NA,7.703846956,NA
C14orf119,4.345554234,0.730643121,0.509246976,7.217614913,3.435856732
C14orf132,47.49434832,NA,0.85970271,1.630166658,NA
C14orf159,NA,1.960241362,1.447941887,NA,NA
C14orf166,40.24897536,3.594488679,5.667973686,297.8246181,23.49876396
C14orf1,NA,8.785710177,11.19841365,NA,9.492943162
C14orf28,1.958237653,NA,NA,1.027041376,2.000559445
C14orf2,NA,NA,NA,NA,17.32570788
C14orf37,10.1526743,1.433866774,0.698274317,4.61206546,6.425701556
C14orf79,4.353976192,1.367848604,1.492775122,4.9055629,2.331693929
C14orf80,4.238660898,0.61605438,0.666800096,1.196891333,2.311895405
C14orf93,3.662767496,0.729931657,1.078822888,1.635052333,1.593758487
C15orf39,0.881707516,NA,NA,0.337563322,1.945576536
C15orf40,5.677366651,1.809157206,4.170870213,4.732135889,2.5896205
C15orf41,7.039808507,NA,0.279334513,NA,4.273536057
C15orf52,1.945458254,NA,NA,4.392411418,NA
C15orf57,17.27273791,2.215262009,2.3872372,9.260775506,4.702061265
C15orf59,8.208505519,1.421432735,1.046238098,NA,2.446597219
C15orf61,3.196279007,2.37091253,1.177194491,NA,6.694713537
C15orf65,NA,NA,NA,3.191500881,2.547452509
C16orf46,NA,5.14346375,1.767021788,NA,8.596488913
C16orf52,11.11964611,NA,NA,5.563356914,4.818892082
C16orf58,NA,11.40603897,11.98205824,9.978257564,4.69439026
C16orf59,5.918576331,3.408889763,3.180565146,4.116605089,3.604665501
C16orf62,10.04772827,1.076989863,1.716768384,2.749547492,4.144605425
C16orf70,7.067182406,NA,0.515582043,4.060117737,2.442325782
C16orf71,12.70739574,1.487906306,NA,NA,NA
C16orf72,3.210489114,NA,NA,3.113205446,2.124291877
C16orf86,4.40319957,NA,1.407019679,NA,0.390011257
C16orf87,3.184628249,NA,NA,4.58136351,3.780600611
C16orf91,1.885793939,0.641168803,0.782783029,1.809956737,1.916349522
C16orf95,NA,6.336353573,5.636663246,1.30146637,2.259016994
C16orf96,NA,NA,NA,NA,2.159828054
C17orf49,NA,NA,NA,NA,7.489901568
C17orf51,3.097102233,0.472487599,0.340119269,2.700249082,2.700230891
C17orf53,6.790696005,0.833476515,1.231642561,7.206286251,2.852262904
C17orf58,4.020639089,0.195786217,0.735943379,2.861535357,4.998123024
