Table S2. ORFeome mRNA stabilities from Pool 1 and 4,,,
,,,
All half-lives are in hours,,,
Pool 1 and 4: ORFeome mRNA stabilities,,,
DMSO: Pool 1 and 4 ORFeome mRNA stabilities in cells treated with DMSO,,,
4EGI-1 Pool 1 and 4 ORFeome mRNA stabilities in cells treated with 4EGI-1,,,
,,,
Gene.Name,Pool 1 and 4,DMSO,4EGI-1
CNN1,11.23431442,NA,9.415065713
CNPY3,NA,NA,6.635813168
COL9A1,NA,NA,152.7587203
COQ9,NA,NA,2.839799955
CPA5,48.99666704,NA,18.88168804
CPN1,NA,NA,6.438741292
CPNE5,36.4980655,NA,NA
CPZ,11.92209578,8.453940409,2.864550377
CRABP1,34.21441205,NA,4.94363959
CRADD,14.04761735,NA,NA
CRIP2,12.96849234,NA,5.62649941
CRYBB3,17.41638119,12.04095759,4.653863788
CRYGA,6.086277699,NA,7.27846479
CRYGB,4.63365377,NA,5.2162382
CRYGD,NA,11.23798205,NA
CSF1,5.474649562,7.479861122,12.38869805
CSGALNACT1,44.63420807,1.894329235,4.649744836
CSH1,263.4305326,NA,3.523702201
CST6,138.3683332,NA,10.25305752
CST9L,75.87717751,NA,3.902890493
CTRB1,NA,NA,15.57260242
CTRC,NA,11.38725832,13.91795073
CTSE,39.76061676,3696.194642,7.424509771
CX3CR1,NA,NA,2.537359713
CXCL16,NA,NA,10.04686888
CXCL9,NA,NA,9.329200876
CYB561,NA,17.73826629,17.3510142
CYB5D2,4.354549362,NA,NA
CYP1B1,6.528951238,NA,2.351536663
CYP24A1,13.46754516,NA,6.154585042
CYP26B1,NA,NA,3.344139435
CYP2A6,NA,NA,16.88862535
CYP2S1,NA,NA,9.651520029
CYP4B1,21.71818187,NA,5.366926814
CYP4F12,NA,NA,13.52248897
CYYR1,72.13851263,NA,7.620233336
DACH1,NA,NA,0.785354487
DACT2,27.50077778,6.522883872,2.906233346
DAO,12.00817543,NA,4.794394616
DBH,NA,NA,9.825179321
DCAF4L2,13.66900776,305.2189616,NA
DCPS,NA,NA,3.342335224
DDI1,NA,NA,2.926542084
DEFB118,NA,NA,1.699400281
DEFB127,NA,NA,11.24683055
DENND2D,NA,NA,4.582530937
DFNA5,NA,14.70114797,3.2650235
DHDH,NA,NA,3.972336513
DKK3,NA,NA,6.327456266
DKK4,886.239051,NA,19.93264805
DLX2,0.805664235,NA,NA
DLX3,5.927538432,6.858780893,3.476517765
DNAI2,11.242917,NA,13.6895511
DNAJA4,25.89821633,15.08211631,5.307246391
DNAJC30,1.916249406,1.108316541,NA
DOCK8,4.11925148,NA,1.957285822
DPEP2,NA,NA,8.893009858
DPYS,NA,NA,2.804484864
DRD5,20.53012545,NA,3.381180283
DUSP26,13.46047707,NA,4.71589656
DUSP4,3.66830192,NA,2.169673763
EFNA1,NA,10.59349321,NA
EHF,NA,NA,1.559167432
ELMO1,NA,4.0416967,NA
ELOVL2,NA,7.57348844,NA
ELOVL7,6.468735729,NA,NA
EMP1,14.79994718,NA,18.68271492
ENTPD2,NA,35.64376963,7.203794993
EPB42,34.34525583,NA,4.699420788
EPHB2,NA,NA,5.545688218
EPM2AIP1,12.89635174,4.249828837,2.60653934
ERP27,NA,NA,34.92210713
ESM1,8.760822777,NA,5.335387433
ESR1,NA,NA,10.40018394
ESRRG,6.497956548,14.00249651,10.04772899
ETHE1,NA,30.79409574,2.915633313
ETS1,4.875601142,NA,4.096497049
ETV7,1.963450322,NA,2.508159394
EXOC3L4,3.646547532,NA,NA
F10,NA,NA,82.52901742
FA2H,40.58253199,NA,3.188691418
FABP1,NA,NA,3.04435213
FAM102A,12.76910035,NA,3.805749823
FAM124A,5.731253485,6.95021868,2.581854001
FAM134B,4.539300666,NA,5.091513079
FAM151A,NA,NA,25.33091049
FAM167A,6.586337566,NA,5.044511821
FAM26E,NA,NA,3.138206044
FAM71A,6.762027366,NA,NA
FAM71F1,NA,NA,2.349958068
FAM84B,2.924425046,NA,NA
FAM86C1,NA,NA,1.93598731
FAM90A1,12.69697574,NA,NA
FBP2,40.03630162,NA,14.25062726
FBXL15,7.742558993,NA,NA
FBXO39,NA,NA,5.075813059
FBXO4,NA,NA,3.525821293
FBXW12,NA,NA,3.884932318
FGF19,14.6811324,23.55914536,5.118477983
FGF9,NA,NA,1.87368599
FHIT,28.89137342,NA,4.371266071
FLVCR2,NA,119.4405925,5.828691623
FMO1,NA,NA,5.541715941
FMO5,NA,NA,1.201403416
FNDC5,NA,NA,9.947495006
FOS,2.088196292,NA,NA
FOXB1,NA,NA,1.328996391
FPR1,NA,NA,4.873828926
FPR3,NA,NA,1146.014716
FRZB,105.5526398,NA,8.177751877
FSCN3,NA,NA,5.196543162
FXYD1,NA,NA,7.400448316
GABBR2,NA,1.728197625,NA
GABRA5,24.25485137,NA,13.30052827
GABRE,NA,NA,15.64324171
GABRR1,NA,NA,10.66559208
GALNT9,19.12678642,NA,3.612694202
GAS7,NA,NA,7.197755098
GATA3,NA,NA,1.97587363
GCM1,NA,2.923263535,NA
GDF15,9.073821212,NA,15.63011029
GFOD1,NA,2.643383904,NA
GFRA2,2.968263284,13.54940779,8.474308674
GGT5,NA,NA,5.92667766
GGTLC1,40.08661591,21.51066392,5.293730898
GHRH,NA,NA,244.1933885
GJB3,NA,NA,3.762974439
GJB6,NA,NA,9.174115955
GLIPR1L2,NA,NA,8.381140137
GLRA2,26.05592423,5.908866528,147.0919251
GNB1L,47.53010999,NA,NA
GNB3,NA,NA,2.748153902
GOLT1A,19.97046019,NA,11.73988234
GPM6A,NA,NA,12.9345411
GPR119,95.55071021,NA,NA
GPR152,39.10309842,10.43506859,3.226496449
GPR156,25.29856491,NA,2.859739359
GPR162,NA,NA,6.333194409
GPR17,127.4006445,NA,9.358339846
GPR182,45.88179332,NA,13.03292607
GPR55,NA,NA,8.599579273
GPR84,NA,NA,0.962050837
GPX3,NA,NA,4.553263346
GREM2,NA,200.0229243,9.792618203
GRM4,NA,NA,9.402634486
GRP,198.7026712,NA,21.02693481
GSG1,10.28363612,NA,10.92726516
GSPT2,NA,NA,2.441180864
H1FNT,NA,NA,6.100333902
HAGHL,NA,4.010390898,NA
HAND2,5.476485385,4.820494452,5.680444349
HAVCR2,NA,NA,5.498526567
HBEGF,10.60915773,NA,NA
HBQ1,49.40003015,NA,13.05899476
HBZ,NA,NA,6.363534205
HCLS1,NA,NA,1.245730375
HHIPL2,NA,NA,2.422146918
HIST1H2AM,NA,NA,5.177732586
HIST1H2BN,NA,NA,5.987767101
HIST1H3G,NA,NA,7.03485453
HIST1H3H,NA,NA,10.38830212
HLA-C,NA,NA,15.71751727
HLA-DPB1,NA,NA,6.511023722
HLA-DRB1,NA,NA,14.50651896
HLA-DRB5,97.9891429,179.5978788,18.12536721
HMGCLL1,NA,NA,2.155045665
HMP19,NA,NA,30.29342522
HMX2,4.658728264,NA,NA
HOGA1,9.847762922,NA,6.110926621
HSD17B2,63.64600613,NA,4.980142523
HSD17B3,25.66571391,NA,4.389471404
HTR1D,10.58888613,NA,8.152717345
HTR3E,NA,NA,7.475348353
ICA1,NA,4.262906539,NA
ICAM1,11.91655511,NA,5.042063067
ICAM2,NA,NA,5.449883638
ICAM4,NA,NA,8.425362305
IDO1,9.945973859,NA,3.633792592
IFIT3,1.07653638,NA,NA
IFNE,9.52636102,NA,3.077190797
IGF2,NA,NA,13.09634149
IGFBP4,NA,NA,12.94113293
IGFL3,NA,NA,13.20474357
IL17RC,NA,6.94520728,NA
IL21R,54.32592765,NA,NA
IL36G,NA,NA,2.871513884
IL6R,NA,NA,8.363994747
IL7R,10.92177453,NA,NA
IQCF2,19.42433564,NA,5.286083032
IRAK1BP1,NA,NA,3.074080688
IRF9,25.66900185,NA,3.35806106
IRS1,NA,NA,1.364758372
ISG15,8.644177489,NA,NA
ITGB2,NA,NA,3.799858841
ITIH3,NA,NA,28.50191032
ITM2A,12.20404269,NA,6.132675405
KCNA3,11.70590731,NA,4.84466101
KCNA5,10.98620245,110.3043421,5.741838888
KCNAB1,NA,NA,12.74588044
KCNE3,14.35157557,NA,NA
KCNE4,NA,NA,17.71665537
KCNG4,47.44795527,NA,6.192663746
KCNH6,28.38041933,NA,5.18429588
KCNJ3,9.848761222,NA,3.715567312
KCNK17,41.66864701,40.68213556,7.063139273
KCNK4,NA,NA,20.55218741
KCNRG,NA,1.305499935,NA
KCTD14,NA,NA,7.247933442
KCTD4,NA,NA,10.07748308
KCTD8,NA,NA,2.224420366
KIAA1644,17.2629161,NA,NA
KIF12,10.16664548,58.0079042,2.026604934
KIRREL2,NA,NA,6.110968453
KLHDC8A,14.89256597,NA,4.88130526
KLHL26,NA,2.017978389,1.99063068
KLK10,28.14273767,NA,7.756498859
KLK2,NA,NA,4.947857337
KLK3,NA,NA,3.869056033
KLK7,NA,NA,25.47201493
KLK8,NA,NA,9.56149062
KNG1,NA,NA,21.73504294
KRCC1,2.780071114,0.989976716,NA
KRT19,3.140217781,NA,5.979807976
KRT2,5.098904909,NA,NA
KRT73,37.49792411,NA,2.162093735
KRT81,8.129967071,NA,NA
KRTAP13-4,NA,NA,4.067963228
KRTAP19-1,NA,NA,3.517621089
LAMP5,NA,NA,25.84980908
LAPTM5,NA,NA,10.07945058
LBP,NA,NA,8.183861543
LCK,11.69754359,NA,1.554982893
LCN6,11.01218604,NA,NA
LEFTY1,NA,NA,2.373840375
LGI3,NA,140.667475,18.12040411
LHFPL1,NA,NA,7.75056768
LHFPL4,NA,NA,10.83847011
LHFPL5,64.27928657,108.305058,5.882076415
LINGO1,8.405594319,6.027721135,10.50188317
LIPG,10.74820755,NA,NA
LNP1,NA,NA,3.498554177
LOXL4,NA,NA,8.958777116
LPL,NA,NA,6.992878277
LRFN3,4.525171691,NA,16.35548043
LRFN4,NA,4.384212129,NA
LRRC32,14.11194726,8.024492216,7.539910139
LRRC4,16.87630286,NA,5.367050882
LRRTM1,93.19901017,NA,5.164142548
LRRTM2,NA,NA,4.68561757
LRTM1,NA,NA,3.052374885
LSP1,NA,NA,6.964672707
LTF,423.7432483,NA,NA
LY86,NA,NA,42.71129465
LYG2,NA,NA,28.42327277
LYPD5,NA,NA,5.323100186
MAGEA8,65.24033353,NA,9.533450412
MAK,NA,1.27764937,NA
MARVELD3,7.23078245,13.2374515,2.488979939
MATN4,34.72498101,26.5660952,6.066471982
MBLAC2,1.78952328,NA,NA
MEI1,9.231298428,24.2279772,3.154234152
MEST,NA,NA,10.34958523
METTL1,NA,NA,3.085212231
MGAT3,NA,3.773553635,NA
MIA,NA,NA,8.757029373
MIIP,NA,NA,1.930750615
MLN,NA,NA,18.1470421
MLPH,24.76431624,NA,3.659947718
MMACHC,NA,NA,3.136995342
MMP13,NA,NA,22.22999225
MMP19,NA,NA,5.616441983
MMP9,9.053110084,11.64003312,8.782549521
MOB3B,10.30243743,NA,NA
MORN3,NA,NA,22.57669112
MPEG1,NA,NA,4.103384672
MRAP2,10.17578227,NA,14.63033318
MRAS,NA,NA,4.963815195
MS4A15,NA,NA,26.67138902
MTHFS,6.800996224,NA,NA
MUCL1,NA,NA,21.04911223
MUSK,NA,NA,10.63323562
MYCT1,27.52285302,NA,9.092867039
MYL10,NA,NA,6.139447039
MYLK3,NA,NA,3.051706706
MYO1F,31.56882279,NA,5.476340201
MYOC,NA,NA,7.90639058
MZB1,NA,28.7100285,7.160122291
NAGS,NA,2.941634715,2.849688933
NANOS3,68.47912171,NA,21.96103258
NAPSA,NA,22.2505833,4.669845881
NAT8,NA,NA,5.829753079
NCF1,12.93733891,NA,7.441769454
NDN,7.141332054,NA,3.314169221
NDUFAF1,NA,NA,4.495279014
NEGR1,NA,NA,32.4881756
NELL1,NA,14.76665368,29.68894857
NEUROG3,1.767803955,NA,3.126243209
NGB,180.5765813,NA,5.786469691
NHLRC1,3.262106204,NA,NA
NID2,NA,NA,5.649510952
NKAIN4,NA,NA,4.829269531
NME3,22.27131593,NA,NA
NMI,6.06108299,NA,NA
NMNAT1,NA,NA,2.711142126
NMRK1,NA,5.349835443,NA
NOTUM,10.57615865,NA,NA
NOV,12.82758643,7.166687967,7.101492866
NOX4,NA,NA,5.38185031
NOXRED1,27.79824232,NA,4.138595843
NPHS2,24.93129273,NA,3.862209904
NPPB,NA,NA,32.08853775
NR2E1,5.607504173,4.508144241,2.682616552
NRG1,NA,NA,4.987543817
NRP1,NA,NA,2.72770909
NRP2,NA,NA,4.568674074
NT5C1A,21.74647,2.225606688,6.431431416
NTRK2,NA,NA,14.2779528
NTRK3,38.18971,NA,4.96223701
NUAK2,NA,2.082537423,NA
NUDT10,NA,NA,6.175455033
NUDT6,NA,5.502479439,2.363371614
NXPH3,102.3537,NA,5.768815534
NXT2,3.982066,NA,NA
OASL,24.0713,NA,4.001717966
ODF3L1,NA,NA,4.5567096
ODF3,8.253415,NA,6.144239015
OLFM2,44.55774,32.31904757,NA
OPN3,NA,NA,4.241734658
OR2L13,NA,NA,14.36133523
OTOP1,NA,NA,3.914667911
P2RX1,33.18092,102.776647,7.942116787
P2RY6,6.380765,NA,2.679813547
P4HA3,NA,NA,5.862172073
PABPC3,38.57672,NA,NA
PACRG,NA,NA,7.028678781
PAGE1,NA,NA,10.59293648
PAGE2B,NA,NA,15.09548529
PAH,85.29565,29.48833115,3.584958024
PALM,32.01015,12.40112009,4.091911064
PARS2,NA,NA,2.154955212
PATE1,NA,NA,5.897903972
PCDH20,9.017907,12.99647323,3.166199841
PCDHA12,13.01255,33.20244905,4.665766055
PCDHA4,NA,NA,4.598710455
PCDHB10,114.9418,NA,13.11438572
PCDHB14,NA,NA,8.197054923
PCDHB15,NA,NA,13.02654002
PCDHB16,NA,NA,2.793188686
PCDHB4,NA,NA,58.37130395
PCDHB7,35.02816,NA,3.071471165
PCDHGA5,16.87426,NA,3.153661212
PCDHGC4,NA,NA,5.993428454
PCGF6,NA,1.955008694,NA
PCOLCE2,NA,NA,5.389726591
PDGFRA,NA,NA,5.904771184
PDYN,36.54925,NA,4.947705078
PENK,NA,NA,14.56014622
PEX10,3.542076,NA,NA
PF4V1,NA,NA,6.378818894
PGAM2,NA,38.29468306,5.673995171
PGLYRP4,NA,NA,3.479389305
PHACTR3,12.03714,6.27300114,5.455127167
PHLDA1,3.923154,NA,1.249725449
PHOSPHO1,17.76429,NA,NA
PI15,NA,NA,2.267648178
PI16,15.04798,142.1810148,6.159817483
PIK3AP1,NA,NA,4.230162432
PIK3R5,NA,NA,3.130665576
PIPOX,9.55236,NA,4.554829406
PKIG,NA,NA,8.775038964
PLA2G2D,NA,NA,6.49894878
PLAT,29.11072,13.8013547,4.377286923
PLAU,NA,NA,12.48852207
PLB1,30.0075,NA,3.636595683
PLEKHF1,2.877385,NA,1.960012145
PNLIPRP1,NA,NA,3.220317699
PNLIPRP2,10.33829,NA,7.261274687
PNMT,NA,NA,6.298061484
PNOC,59.19396,NA,21.83930678
PNPLA1,5.014972,NA,3.144761547
PODNL1,30.51801,81.31716721,8.81176323
PODN,12.14215,NA,4.799121049
POGLUT1,NA,3.576609675,NA
POLR2M,10.40738,NA,NA
PPP1R14C,18.4139,NA,3.358165833
PPP1R16B,NA,2.848531109,NA
PPP1R1A,NA,NA,5.809789553
PPP2R2B,5.619679,NA,13.90083957
PQLC2,NA,NA,5.350154075
PRELP,82.18579,NA,18.80422322
PRKACG,NA,NA,7.115105052
PRKCB,11.00243,NA,7.230993391
PRMT8,6.21182,NA,NA
PROC,197.5013,NA,8.417534744
PRODH,17.35452,NA,2.133829182
PRRG4,NA,NA,9.641198022
PRSS35,NA,NA,19.65810697
PRSS50,NA,NA,9.65786541
PSCA,58.75214,NA,8.630978939
PSG9,NA,NA,7.143718768
PTGDS,NA,NA,17.83794359
PTH1R,NA,NA,2.850697584
PTHLH,NA,4.807735594,NA
PTPRCAP,NA,17.37509486,3.666861057
PYCARD,51.97103,NA,6.705750451
PYROXD2,17.83649,NA,2.624683999
RAB15,6.086146,5.945369714,4.433287596
RAB17,NA,NA,4.183513037
RABL2B,14.18212,NA,NA
RAI2,3.230477,NA,2.370041206
RAP2B,NA,1.849094899,NA
RARRES3,12.12707,NA,NA
RASD1,33.86867,NA,3.590987443
RASL12,15.9949,NA,5.228742959
RASSF4,7.097238,NA,2.431451074
RCVRN,7.903266,NA,7.887453025
REG1B,NA,NA,9.014723709
REG3A,NA,NA,8.883681971
REG3G,NA,NA,7.427879264
REPIN1,5.138608,NA,NA
RFESD,NA,12.38196114,NA
RFK,NA,NA,2.654846916
RFPL2,155.4552,NA,1.930526466
RFPL3,38.47122,NA,2.685291587
RFPL4B,10.40199,NA,3.410863827
RFTN1,NA,8.578610602,NA
RGMA,NA,NA,1.719895174
RGS4,NA,1.201087989,3.581577343
RHCG,NA,NA,5.001854493
RIMBP2,4.409633,NA,4.290386628
RIMS3,NA,NA,4.705286415
RLBP1,NA,NA,1.536722867
RLN2,NA,NA,2.401663095
RNF148,12.67488,NA,4.566928416
RNLS,61.76267,NA,5.005424242
ROGDI,NA,NA,5.687826384
ROPN1L,NA,NA,5.403710067
RSG1,NA,NA,2.245378241
RSPH9,4.874966,34.49494826,3.358807146
RSPO1,NA,NA,12.42400538
RTBDN,NA,NA,5.602592784
RTN1,NA,5.270768208,NA
RTP4,NA,NA,2.105932513
RUNDC3A,15.9786,NA,3.938456739
S100A3,14.81033,9.872183759,4.321137308
SCARA3,5.788757,8.414552609,12.0997549
SCN1B,6.152701,NA,NA
SCN2B,NA,NA,6.554124211
SCN3B,NA,NA,12.94427395
SCNN1B,92.33482,19.9660311,6.100916631
SCTR,32.84638,20.00876533,4.063563079
SCUBE2,NA,NA,1.734632677
SEC14L3,19.63215,NA,3.569228065
SEC16B,8.317922,NA,3.058291522
SELPLG,NA,NA,1.239340489
SEMA4A,19.72735,NA,9.299945701
SERPINI2,NA,NA,2114.915736
SFN,54.1326,NA,4.684775544
SFRP4,1579.873,NA,NA
SFTPA2,NA,NA,6.80996164
SFTPB,NA,2.537184079,12.62236327
SFTPD,NA,NA,3.175385355
SGCA,NA,NA,6.620976918
SHC4,6.010059,NA,2.135659906
SHD,30.77245,NA,4.107483868
SHISA2,2.452809,0.614544637,0.84901817
SIGLEC5,NA,NA,7.269466243
SIGLEC9,378.6701,NA,10.52566613
SLAMF8,NA,NA,8.633241785
SLA,4.349481,NA,3.562887628
SLC13A4,NA,57.93334449,4.70803652
SLC18A1,NA,NA,8.056198966
SLC18A3,NA,NA,1.672012556
SLC1A1,NA,3.780365462,5.556317571
SLC1A7,NA,NA,9.102990435
SLC22A13,42.21543,NA,4.048050045
SLC22A14,NA,NA,1.807032266
SLC22A2,29.22433,38.95614097,5.311321361
SLC22A6,59.81778,12.57759833,20.8889108
SLC22A7,16.5993,NA,2.194719941
SLC28A1,44.93214,NA,3.078258912
SLC29A3,NA,NA,3.217050147
SLC2A6,11.67623,10.21057985,2.949846688
SLC2A9,NA,NA,6.52538872
SLC38A5,NA,NA,7.032926161
SLC38A7,NA,NA,2.113934329
SLC46A2,14.02462,53.85467703,4.5475587
SLC52A3,NA,NA,6.23223695
SLC5A10,NA,NA,3.814935741
SLC5A11,NA,NA,7.317354971
SLC6A13,18.09834,NA,1.902448108
SLC6A1,NA,NA,9.52177354
SLC7A10,NA,NA,6.064302607
SLC7A9,NA,NA,4.505419907
SLCO6A1,57.54821,NA,5.338167947
SMAGP,NA,NA,24.57478664
SNPH,NA,NA,2.819245496
SNX24,NA,5.578138959,NA
SNX32,NA,2.083143786,NA
SOCS3,6.641119,NA,14.12738595
SOST,NA,NA,4.345794676
SOX14,NA,NA,1.848869007
SPACA3,NA,27.50957258,5.287567191
SPATA3,2.102284,NA,4.634174047
SPDEF,5.015406,3.59835865,2.574443821
SPIN2B,5.717037,NA,NA
SPINT1,26.48754,NA,6.663443313
SPON2,8.163122,NA,NA
SRPX,NA,NA,11.88107677
SSTR1,40.14734,NA,8.298107264
SSX5,54.64445,NA,2.987810308
ST14,8.958068,NA,NA
ST3GAL1,NA,3.141195921,2.213688811
ST6GALNAC2,122.8972,NA,NA
ST6GALNAC5,5.380715,19.09095745,3.665757466
ST8SIA5,NA,NA,5.699285145
STAC2,NA,NA,5.134154137
STAP1,NA,NA,2.895325585
STAT5A,8.281379,7.193393349,2.647951788
STC1,NA,NA,6.425664851
STMN4,NA,NA,2.907570648
STOML3,NA,NA,14.41274785
STX11,7.993803,NA,NA
STX7,NA,27.08931723,NA
SULT1C4,NA,NA,3.543334677
SVOP,NA,NA,42.91980291
SYCE3,NA,NA,12.75752846
SYNDIG1,31.42887,NA,5.595409723
SYT2,NA,10.57384725,6.565840233
SYT9,NA,NA,10.73154836
TACR3,44.05605,NA,3.934872517
TAL2,9747.751,NA,2.517719705
TAPBPL,8.997423,8.267861805,3.375162116
TBX15,382.3096,NA,NA
TBX20,NA,NA,3.5288761
TEKT5,2.174645,6.691344559,3.012616366
