gene,rank,lfc_24hr
IFNGR2,484,-0.15503613275345804
LPCAT4,1304,-0.45405683839019967
B3GNTL1,1897,-0.5701080736688254
GTF2IRD2,1963,-0.5801938222183831
ATF4,3262,-0.7624329037362501
HERPUD1,4220,-0.8695288344411227
RB1CC1,4651,-0.9154578171244276
SIPA1L1,9463,-1.4771997187741084
