gene,rank,lfc_4hr
NEDD8-MDP1,9,2.036157367646247
LINC03104,17,1.2964121881868678
LINC00589,114,0.3036973310175528
MT-ATP8,115,0.3036699101389954
TRIM27,152,0.23034429746133964
RDH14,271,0.11605950713656105
NDUFA4,345,0.07263960107497601
HIGD1A,429,0.03067673293431011
SRGAP2D,604,-0.03584690334680245
AP1M2,715,-0.06548068183474265
PHRF1,964,-0.13213377472824075
TMSB10,1077,-0.16271811038427383
ITCH,1152,-0.17820119075103633
PACRGL,1502,-0.2559601985594947
MT-ATP6,1604,-0.2765070454105869
HAT1,1779,-0.308570310790312
SMIM30,2266,-0.3873257174300731
BROX,2452,-0.41247234742238026
HERPUD1,2702,-0.44645664617787434
MRPS6,3275,-0.5175275878385746
