	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
COL8A2	12	10	11	13	7	13	36	5	9	31	39	14	27	17
COL9A1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COL9A2	467	518	431	432	481	267	226	390	468	326	177	494	383	264
COL9A3	21	18	14	13	7	13	1	0	1	4	20	11	21	8
COLCA1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COLCA2	0	0	0	0	0	0	0	0	2	0	0	0	0	0
COLEC10	0	0	0	1	1	0	0	0	0	0	0	0	0	0
COLEC11	1	3	1	3	3	0	0	1	0	0	2	3	0	2
COLEC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COLGALT1	3553	3142	3397	5360	2996	4349	6022	4176	6621	6110	10558	6559	12305	8122
COLGALT2	310	405	315	218	231	312	434	323	302	420	741	286	360	479
COLQ	9	35	11	4	15	6	1	10	1	2	2	4	2	7
COMMD1	568	867	562	762	567	500	236	860	897	515	240	820	686	450
COMMD10	721	1464	784	442	1204	697	299	761	1082	558	181	655	434	483
COMMD2	1444	1319	1187	1392	1033	1348	741	1609	2333	1332	710	1534	1726	1250
COMMD3	698	1086	693	703	891	537	291	1176	1016	672	202	973	611	622
COMMD3-BMI1	0	1	0	0	0	0	2	0	0	1	0	0	0	0
COMMD4	2550	3619	2619	4139	3280	2762	1444	4027	5569	3128	1432	5067	4129	3194
COMMD5	1553	3386	1875	1393	3521	1752	817	2671	2422	1630	482	2566	1139	1453
COMMD6	427	2261	1449	336	2519	1082	216	2424	413	1237	236	1146	349	1372
COMMD7	2686	6782	2680	3133	6258	3412	1468	8742	5234	4109	1219	5540	2619	3008
COMMD8	674	1588	710	632	1326	826	360	1681	1379	861	317	1164	807	688
COMMD9	1979	2814	1800	2426	2133	1810	742	2763	2826	1743	770	2637	1947	1698
COMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COMT	1743	1990	1699	2405	2693	1816	1405	2729	3913	2170	926	4341	2178	2245
COMTD1	304	492	410	406	450	330	226	620	547	443	109	664	506	324
COPA	3569	2434	4318	2135	1935	4780	5801	2009	1689	5536	11073	1761	2239	4704
COPB1	5782	2944	5720	3860	2504	6384	12577	2322	2281	7458	15811	2531	3469	6239
COPB2	2922	1235	2490	1806	1086	3034	5961	1291	1696	3808	7763	1353	1794	3164
COPE	5152	5565	4463	6634	5721	4353	3252	4717	10587	4936	2454	8580	6120	4777
COPG1	5030	1919	4553	3380	1529	4432	8883	1632	1611	5349	10154	1889	2619	4583
COPG2	489	200	354	351	140	385	740	142	167	439	877	162	300	449
COPRS	2040	6458	3386	2425	4730	2709	962	6426	2333	3061	1399	5093	1820	3752
COPS2	3051	1624	2134	2558	2167	2538	3049	1191	3554	2072	1623	1967	3710	1907
COPS3	5621	3307	4826	6293	3397	5405	7393	2807	4637	5248	7068	3933	8038	5324
COPS4	2844	929	2051	2853	844	2306	2960	543	1332	1593	3155	1035	3293	1864
COPS5	2725	2096	2173	2812	2250	2179	2024	1637	3295	2137	1446	2892	3565	2273
COPS5P1	0	0	0	1	0	0	0	0	0	0	0	0	0	1
COPS6	5755	2774	4564	7297	2863	4275	4334	2885	9313	4524	2807	6074	7618	4351
COPS7A	4594	4497	3859	5190	4737	4035	3894	4180	8157	4325	2183	6551	5238	4117
COPS7B	1625	2439	1545	1462	2518	1560	885	2351	2541	1604	675	2200	1055	1362
COPS8	2680	3542	2443	2602	3133	2455	1153	3314	4232	2211	1310	3522	2982	2461
COPS8P2	0	1	0	4	2	3	1	1	5	1	1	2	1	1
COPS8P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COPS9	684	3851	1965	663	4037	1818	220	3353	491	1655	299	1200	374	1774
COPZ1	8452	11498	7589	9604	9103	7681	4011	12194	12875	7773	3966	9671	9189	6736
COPZ2	28	67	44	27	57	48	18	70	29	52	12	42	23	28
COQ10A	587	479	566	635	430	515	355	474	873	440	234	708	712	443
COQ10B	1088	757	948	1009	741	912	781	761	1532	881	773	905	1309	834
COQ10BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COQ2	931	795	841	1097	795	925	625	918	1199	778	752	1057	1568	875
COQ3	521	287	425	566	288	443	384	287	663	372	446	462	803	502
COQ4	1511	2277	1641	2167	2102	1723	776	1941	2355	1473	852	2420	1858	1713
COQ5	807	494	631	654	435	504	488	296	814	505	484	546	867	554
COQ6	900	471	734	1022	436	727	951	344	584	660	956	525	987	703
COQ7	519	544	444	526	463	465	285	611	780	466	303	661	689	481
COQ8A	818	424	724	913	456	849	962	307	365	636	1570	679	1000	983
COQ8B	362	418	281	367	338	323	266	331	357	337	330	436	470	318
COQ9	1616	1585	1532	1805	1159	1263	735	1463	2203	1241	758	2210	1986	1451
CORIN	3	4	2	6	6	10	4	16	18	11	1	4	1	2
CORO1A	50	10	29	45	12	40	79	22	25	49	73	37	67	48
CORO1B	4572	1230	3677	4494	815	3548	8831	1266	2740	5098	7904	1953	4347	4034
CORO1C	12643	3657	8478	11161	3790	11656	27141	5141	10358	15480	21161	5701	13869	11192
CORO2A	930	501	647	660	328	609	392	307	564	375	453	252	510	374
CORO2B	570	309	416	405	230	313	568	328	609	478	466	293	482	406
CORO6	11	21	13	19	27	16	4	23	22	16	5	15	8	21
CORO7	333	211	316	234	143	223	385	132	117	275	612	181	218	302
CORO7-PAM16	3	0	1	1	0	0	0	0	1	1	0	0	0	3
CORT	0	3	1	1	3	0	1	5	1	0	1	3	0	1
COTL1	19347	40917	21355	22907	33187	21916	10810	54886	34049	26640	9216	31986	15321	20031
COTL1P1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
COTL1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX10	725	1118	669	629	1334	854	406	1133	918	720	377	898	643	716
COX10-AS1	103	212	109	75	191	100	47	164	119	105	33	113	31	69
COX11	1630	2173	1354	1557	1812	1641	1008	2307	2295	1483	951	1576	1568	1267
COX11P1	1	0	0	0	1	0	0	0	0	0	0	0	0	0
COX14	716	3780	1658	814	3120	1344	275	3297	686	1441	281	1597	478	1230
COX15	900	426	562	855	385	739	1173	370	883	836	790	500	1037	668
COX16	239	760	377	286	713	415	120	681	241	280	105	468	186	341
COX17	592	3397	1500	505	2945	1167	234	3167	550	1333	256	936	361	1249
COX17P1	1	5	4	1	9	5	0	9	1	1	2	1	2	3
COX18	491	354	379	493	317	483	478	369	693	434	383	474	639	474
COX19	542	1114	651	639	1274	823	279	974	564	597	417	959	513	686
COX20	695	2775	1751	730	3610	1712	315	2475	601	1374	485	1539	602	1471
COX20P1	0	1	4	2	3	8	1	5	0	3	1	3	1	0
COX20P2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
COX4I1	7736	6904	6718	10571	5310	6340	4681	8802	14052	7548	4548	12808	12976	7861
COX4I1P1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
COX4I1P2	1	0	0	0	0	0	0	0	0	0	0	0	0	1
COX4I2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5A	7304	8983	7308	10463	6604	6640	3787	9606	13692	7223	2773	12244	9102	6806
COX5AP2	1	0	0	0	2	1	0	0	1	0	0	2	2	0
COX5B	3557	5941	3933	4775	3982	3350	1265	6474	5266	3358	1004	5811	3418	3354
COX5BP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5BP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5BP6	0	1	0	0	1	0	2	2	1	0	0	1	0	0
COX5BP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX5BP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6A1	2226	5366	2945	3488	4473	2805	915	6922	3497	3341	1029	6472	2918	3522
COX6A1P2	45	113	79	75	88	64	18	127	60	79	19	137	50	79
COX6A1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6A2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1	4046	17077	7521	5367	13739	6323	1700	16454	5434	6472	1600	10808	2995	6672
COX6B1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B1P7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6B2	1	10	3	0	5	0	1	0	2	0	1	2	0	2
COX6C	2989	9943	4900	3613	8453	4361	1024	8315	3292	4652	1061	5074	2700	4151
COX6CP1	0	0	0	0	1	0	0	0	0	0	0	0	0	0
COX6CP10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP11	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP12	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP14	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP17	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6CP8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2	3365	9451	4503	4161	8301	4303	1215	10533	5453	4372	1082	7561	3644	4052
COX7A2L	2458	8097	4149	2468	8017	3806	1628	9143	4029	4486	1482	5629	2171	3938
COX7A2P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7A2P2	3	3	5	2	10	0	1	6	4	2	0	1	0	1
COX7B	6343	15580	8378	7852	10581	6739	1689	14128	7289	6011	1429	10580	5094	5350
COX7B2	4	13	6	4	6	5	9	37	17	13	1	11	8	11
COX7BP1	1	1	0	0	0	2	1	1	2	1	0	0	0	3
COX7BP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX7C	8390	27820	12126	9210	22560	10554	2490	25048	9054	10023	2645	17402	6442	9801
COX7CP1	2	14	5	6	19	6	2	9	4	5	1	9	3	4
COX8A	6790	22042	9421	10416	15753	9063	2434	20268	8270	9252	1948	13319	4174	7768
COX8C	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CP	2	10	2	3	9	6	4	20	5	5	8	8	3	7
CPA1	0	0	0	0	0	1	0	1	0	0	1	0	0	0
CPA2	3	6	0	0	4	5	0	5	2	2	0	2	0	1
CPA3	278	560	375	331	541	303	239	1017	701	456	69	224	150	162
CPA4	203	221	202	190	187	197	666	286	364	509	692	257	502	437
CPA5	3	8	4	4	15	9	5	5	13	7	2	4	4	6
CPA6	0	2	0	0	4	1	0	0	0	1	0	0	0	0
CPAMD8	0	2	3	0	0	0	0	0	0	0	0	1	0	0
CPB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPB2	0	0	0	0	1	3	0	2	1	0	1	2	0	1
CPB2-AS1	0	2	0	0	1	0	1	3	2	2	0	0	0	1
CPD	679	403	637	355	352	954	2097	360	481	1226	3728	444	805	1397
CPE	436	183	407	436	136	379	561	123	408	424	704	233	831	382
CPEB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB1-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB2	530	376	305	200	307	396	459	361	487	433	264	220	242	207
CPEB2-AS1	0	0	1	0	0	0	0	0	0	0	0	0	0	1
CPEB3	64	125	58	42	95	78	59	75	65	71	35	39	27	38
CPEB3_ribozyme	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPEB4	632	386	369	244	400	503	733	384	547	532	399	242	260	274
CPED1	244	393	209	139	326	237	418	630	600	496	137	148	161	152
CPHL1P	1	4	7	0	4	1	3	3	2	1	2	0	1	6
CPHXL	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLX1	7	14	2	11	33	13	4	10	4	7	2	14	4	6
CPLX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLX3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPLX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPM	66	110	100	50	106	80	111	138	93	132	117	106	102	104
CPN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPN2	0	0	0	1	1	0	2	0	0	0	1	2	0	1
CPNE1	7598	2768	6024	7461	2491	5157	9269	2151	3494	5467	6783	3301	6254	4843
CPNE2	1262	1616	1224	1337	1349	1085	793	1617	2074	1309	640	1572	1373	1102
CPNE3	4875	1182	2839	2893	1182	3945	7936	959	1869	3683	6863	1305	3258	3047
CPNE4	2	4	1	0	0	1	5	1	6	4	2	1	0	3
CPNE5	31	75	54	41	77	45	33	83	79	50	18	52	33	47
CPNE6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPNE7	15	17	23	16	24	6	33	65	61	59	48	96	88	81
CPNE8	909	491	606	459	415	802	1503	421	511	860	1209	313	673	660
CPNE9	4	8	9	1	12	7	7	9	24	8	3	5	7	2
CPO	1	0	2	0	3	1	0	0	1	0	0	0	1	0
CPOX	2086	782	1416	1591	629	1687	2687	709	1460	1724	2960	1189	3388	1915
CPPED1	1310	435	915	1472	417	1160	2619	627	2265	1635	1204	626	1512	860
CPQ	128	85	153	152	67	149	339	118	190	231	517	157	290	265
CPS1	77	108	77	49	77	69	114	94	94	128	119	69	79	97
CPS1-IT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPSF1	2457	2691	2652	2081	2439	2683	2517	1826	1403	2692	4172	2329	1918	2895
CPSF1P1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CPSF2	4115	2140	2976	2974	2391	4137	5677	1543	2051	3509	5936	1717	3380	3107
CPSF3	1930	724	1683	1726	675	1788	3711	760	852	2090	4681	948	1894	2280
CPSF4	1348	1826	1357	1275	2183	1338	629	1631	1939	1201	794	2635	1550	1351
CPSF4L	1	1	0	2	1	2	0	3	0	1	1	2	2	2
CPSF6	3222	1092	2451	2867	1155	2925	4955	882	1471	2820	5380	1462	3631	2809
CPSF7	5671	5401	4583	5712	5747	6045	5962	4932	5182	5425	4496	4912	5639	5020
CPT1A	1490	791	1093	1142	639	1496	4025	943	1223	2374	3147	810	1546	1732
CPT1B	5	44	25	15	25	11	0	16	8	3	3	21	4	14
CPT1C	290	362	254	234	199	199	148	144	134	154	178	220	219	205
CPT2	287	172	324	240	151	274	373	127	138	268	543	187	241	300
CPTP	1381	2318	1551	1458	2370	1348	530	2003	1672	1209	562	2447	1173	1197
CPVL	499	227	475	454	149	547	1473	225	446	887	3323	563	1347	1347
CPXCR1	0	0	1	0	1	0	0	0	5	1	0	1	0	0
CPXM1	7	12	20	4	6	6	0	1	1	5	2	7	1	11
CPXM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CPZ	5	9	7	3	7	4	5	10	5	6	5	1	5	5
CR1	0	0	0	0	0	0	0	1	0	0	0	0	1	0
CR1L	0	0	2	0	0	0	0	0	0	0	0	0	1	0
CR2	1	0	0	0	1	0	0	0	0	1	1	3	0	1
CR381653.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR381670.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR383657.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR392039.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR392039.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR536603.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR769776.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CR769776.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR786580.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR786580.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR812485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CR848007.2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CR848007.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRABP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRABP2	144	231	158	108	108	75	21	57	56	49	14	80	60	53
CRACR2A	713	347	555	680	503	647	790	450	760	720	773	541	724	568
CRACR2B	247	422	304	285	282	214	146	391	307	229	91	383	257	244
CRADD	743	2314	1226	496	1615	769	380	2819	1168	1253	242	1013	432	827
CRAMP1	374	275	291	335	327	378	345	317	298	384	517	307	328	437
CRAT	1137	743	975	1273	619	899	810	491	626	682	859	758	816	707
CRAT37	0	2	0	0	0	1	0	0	0	0	0	0	0	1
CRAT40	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRAT8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRB1	0	0	1	0	1	1	1	0	0	0	0	0	0	2
CRB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRB3	12	10	4	3	3	6	3	7	7	4	5	6	0	6
CRB3P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRBN	929	832	833	754	892	835	941	628	987	809	459	747	962	724
CRCP	1024	2160	927	846	2375	1375	647	2566	1739	1416	486	1533	814	1126
CRCT1	0	0	0	0	1	0	0	1	0	0	0	0	0	0
CREB1	1469	1072	1058	950	1018	1110	1004	937	1558	1064	628	1043	1025	840
CREB3	2184	3660	2268	2193	3220	1977	1202	3025	2857	2036	1146	3782	2441	2212
CREB3L1	1206	1575	1302	1367	1518	1206	936	1391	1795	1199	765	1422	1146	1336
CREB3L2	3772	1778	2605	3620	2103	4192	6712	2221	3366	4622	4575	1521	3050	2606
CREB3L3	35	31	38	13	11	15	9	2	6	6	13	13	16	12
CREB3L4	220	203	173	207	213	179	149	147	200	171	134	273	278	216
CREB5	115	79	93	74	65	107	161	124	142	132	78	45	103	67
CREBBP	2410	978	1626	1323	1423	2382	2587	1258	1413	2374	3165	904	1251	1817
CREBL2	1621	5145	2459	879	4561	2163	833	3736	1401	2083	894	2073	942	1782
CREBRF	239	248	227	107	213	197	264	167	209	190	142	114	145	127
CREBZF	905	970	794	638	978	883	633	936	1146	938	473	891	599	727
CREG1	710	591	660	961	792	914	990	1241	2020	1086	1053	1974	2313	1483
CREG2	1	2	0	6	3	1	1	3	3	2	0	4	0	4
CRELD1	321	403	348	282	241	250	237	280	342	280	288	432	539	366
CRELD2	233	158	274	408	154	233	282	244	438	308	574	541	1009	545
CREM	675	1724	798	603	1653	855	316	1698	1021	887	317	1214	516	894
CRH	3	0	1	0	2	0	0	1	0	0	0	2	0	0
CRHBP	3	7	11	6	2	7	6	13	9	9	4	4	3	6
CRHR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRHR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIM1	1470	533	1056	1389	805	2858	6840	1396	2551	4619	6228	851	1895	2259
CRIP1	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CRIP1P1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1P2	0	0	0	0	0	0	0	2	0	0	0	0	0	0
CRIP1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP1P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP2	78	95	64	95	48	68	68	133	167	99	62	121	134	94
CRIP3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIPAK	129	66	120	137	69	148	126	75	98	129	223	72	123	129
CRIPT	448	1088	515	498	738	469	176	928	631	531	165	664	380	446
CRISP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRISP3	1	0	0	0	1	1	1	0	4	1	2	1	3	0
CRISPLD1	111	64	135	111	72	117	145	81	135	135	297	114	202	149
CRISPLD2	89	48	93	80	48	107	131	49	57	93	405	107	207	197
CRK	6024	3792	4153	4213	3495	4585	4004	4558	8300	4787	3619	3793	5483	3464
CRKL	3900	1436	2662	3203	1760	3089	4004	1454	3644	3156	2789	2278	3492	2606
CRLF1	1	3	2	2	2	1	0	6	0	3	1	3	1	1
CRLF2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRLF3	923	704	746	676	583	848	971	589	947	747	676	517	929	626
CRLS1	887	1999	1139	794	2706	1187	535	2012	1016	913	553	1870	893	1018
CRMP1	0	0	0	1	2	0	0	0	1	0	0	0	0	0
CRNDE	143	570	324	176	775	350	63	500	174	261	69	232	80	226
CRNKL1	1088	390	837	722	342	1002	1659	229	308	989	2361	363	585	944
CRNN	0	0	0	0	0	0	3	3	0	1	1	0	0	3
CROCC	178	107	207	190	103	181	209	77	95	224	473	96	267	281
CROCC2	0	0	0	0	0	0	0	0	0	0	0	1	0	0
CROCCP1	0	0	3	0	0	0	0	0	0	0	0	0	0	0
CROCCP2	407	701	476	349	743	419	236	781	429	529	337	686	422	477
CROCCP3	10	24	22	7	16	20	10	27	11	11	5	11	5	8
CROCCP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CROCCP5	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CROT	146	143	118	107	113	139	279	105	84	176	309	100	125	154
CRP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRPP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRTAM	54	55	47	21	43	28	8	12	11	8	11	26	25	22
CRTAP	4005	3468	4333	6053	3061	5059	6447	4996	9184	7251	9442	7214	12995	8099
CRTC1	662	544	696	640	417	591	748	363	343	586	1003	439	618	670
CRTC2	2037	2382	1963	2345	2268	1936	1581	1653	1872	1669	1567	2217	2452	1954
CRTC3	1713	1405	1254	1630	1301	1769	1506	1712	2171	1685	1255	1151	1451	1224
CRTC3-AS1	7	8	2	2	7	1	1	5	0	2	0	1	2	3
CRX	0	0	0	0	0	0	0	0	0	0	0	3	0	0
CRY1	1983	1027	1237	1822	1201	1804	2636	1059	1917	1970	1463	1102	2015	1275
CRY2	304	346	304	260	413	287	280	259	172	321	320	327	306	343
CRYAA	0	0	0	0	0	0	0	0	0	0	0	0	1	0
CRYAB	0	1	3	0	1	1	0	4	1	4	0	0	0	0
CRYBA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBA2	0	1	0	4	1	0	0	3	1	0	0	0	0	3
CRYBA4	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CRYBB1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYBB2	0	1	0	0	2	0	0	0	1	0	1	2	0	0
CRYBB2P1	242	612	339	276	672	393	143	698	253	294	206	446	211	330
CRYBB3	2	1	3	0	3	6	0	2	0	2	2	1	3	3
CRYBG3	616	363	470	272	436	686	863	569	532	895	1011	307	297	541
CRYGA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGEP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGFP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGGP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYGN	0	3	1	0	0	0	0	1	0	0	0	0	0	0
CRYGS	2	8	6	2	1	7	5	2	4	1	2	2	2	5
CRYL1	377	200	227	371	115	264	252	209	560	258	224	178	395	236
CRYM	1	1	1	0	1	0	2	3	5	5	2	5	4	2
CRYM-AS1	6	6	4	1	11	3	5	23	10	7	2	11	6	8
CRYZ	1823	1060	1187	1358	1021	1307	1584	825	1356	1181	775	825	1254	785
CRYZL1	589	302	484	668	313	568	587	242	479	424	394	328	696	368
CRYZP1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYZP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CS	7914	4381	6322	8538	4200	6972	10919	3867	4877	6953	11700	4547	7947	7320
CSAD	44	58	41	44	64	39	23	54	34	48	40	63	37	41
CSAG1	10	77	57	12	58	18	7	51	13	29	5	41	12	29
CSAG2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSAG3	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CSAG4	1	0	0	0	0	1	0	0	0	0	0	0	0	0
CSDAP1	0	0	2	2	1	2	2	1	3	2	1	1	0	3
CSDC2	0	2	0	0	0	0	0	0	0	0	0	0	0	0
CSDE1	22287	17809	16697	18210	17081	23369	27630	21023	20004	26777	31422	17030	19946	22378
CSE1L	12185	4768	10764	8602	5084	14157	23518	3914	4124	11899	34590	5294	7829	12965
CSE1L-AS1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CSF1	5099	4653	4728	3549	2607	3474	2581	1754	1981	2305	8681	4664	7281	6424
CSF1R	29	62	55	20	59	27	21	32	18	21	67	190	117	148
CSF2	120	261	169	125	166	117	33	174	79	100	65	250	136	183
CSF2RA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSF2RB	0	2	0	3	1	0	11	5	10	11	0	0	3	3
CSF2RBP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CSF3	1562	3312	2177	1728	2422	1621	402	2326	972	1198	3357	9131	7835	6524
CSF3R	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSGALNACT1	210	261	187	193	377	328	111	178	206	147	71	145	114	89
CSGALNACT2	1414	2332	1246	882	2755	1908	1419	2803	2338	2090	1111	1822	1313	1510
CSH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSH2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSK	4839	2941	3898	5629	3433	3905	4747	2515	6008	4172	2641	5136	5067	4147
CSMD1	0	0	0	4	0	0	0	0	2	0	0	0	0	0
CSMD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSMD3	5	2	3	1	6	5	2	7	5	4	1	1	2	1
CSN1S1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSN3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1A1	4585	4610	3266	3234	4966	4570	3179	3938	6264	4260	1985	3115	3636	2904
CSNK1A1L	1	0	1	0	0	0	1	0	0	0	0	1	0	0
CSNK1A1P1	0	3	3	2	4	3	0	3	1	4	0	4	0	5
CSNK1A1P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CSNK1D	5226	4177	4843	4971	3831	4438	5250	3611	4250	4616	4569	3920	4989	4179
CSNK1E	2623	2045	2457	3203	2042	2527	1986	2073	2860	2319	1816	2956	3196	2359
CSNK1G1	586	606	447	355	540	573	466	615	642	567	413	447	468	478
CSNK1G2	2677	7024	3705	2296	6302	3249	1269	5624	2681	3202	1585	5180	2192	3090
