	TR_R4_Dap5_HD	TR_R4_Dap5_MD	TR_R4_Dap5_T	TR_R5_Dap5_HD	TR_R5_Dap5_MD	TR_R5_Dap5_T	TR_R11_NS_HD	TR_R11_NS_LD	TR_R11_NS_MD	TR_R11_NS_T	TR_R3_NS_HD	TR_R3_NS_LD	TR_R3_NS_MD	TR_R3_NS_T
ABCB10P3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB11	0	0	0	0	0	0	0	0	0	1	1	0	0	0
ABCB4	0	0	0	0	2	0	1	0	0	1	0	1	1	0
ABCB5	3	0	0	0	2	0	0	1	1	3	0	0	0	0
ABCB6	46	38	46	37	49	39	19	14	21	34	45	46	44	46
ABCB7	428	361	400	316	288	371	524	240	216	423	782	256	395	441
ABCB8	549	629	461	601	803	580	429	625	737	587	527	972	944	763
ABCB9	396	515	433	539	518	394	266	433	501	355	545	889	1216	780
ABCC1	1480	1578	1530	967	1166	1676	1792	1339	912	1794	3655	952	1118	1969
ABCC10	508	377	406	425	379	467	453	404	412	476	996	485	632	592
ABCC11	5	2	1	2	7	3	0	5	5	4	1	0	4	1
ABCC12	3	3	1	1	4	0	0	0	0	0	0	0	2	0
ABCC13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC2	51	83	55	39	89	62	27	47	26	43	51	45	34	59
ABCC3	300	417	316	188	210	291	340	195	140	315	551	300	299	344
ABCC4	663	704	560	435	686	831	1064	871	751	1001	1565	599	653	824
ABCC5	527	838	535	314	768	622	440	646	364	611	1098	624	462	725
ABCC5-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC6	15	58	21	6	28	9	13	17	3	12	14	12	6	15
ABCC6P1	4	17	14	2	9	5	3	11	4	6	0	6	1	7
ABCC6P2	4	47	28	6	32	13	1	24	0	6	1	8	1	5
ABCC8	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	19	40	23	16	36	27	20	48	35	28	22	39	34	25
