db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
ATP6V1F,NA,eIF4E activated translation,PMID 41102449,homo sapiens
ATRN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AURKAIP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
AVEN,NA,eIF4E activated translation,PMID 41102449,homo sapiens
B3GALT4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
B3GNT3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAD,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAK1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAMBI,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BANF1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BAP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BBC3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCAS4,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCAT2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCKDK,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCL2L1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCL2L12,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCL7B,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCL7C,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BCS1L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BDH1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BECN1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BET1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BET1L,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BEX2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BIK,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BLOC1S1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BLOC1S2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BLVRB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BMP2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BNIP3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BOLA1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BOLA3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BPGM,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BRI3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BRMS1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BTBD6,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BUD31,NA,eIF4E activated translation,PMID 41102449,homo sapiens
BYSL,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C11orf24,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C12orf10,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C12orf43,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C12orf45,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C12orf49,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C12orf57,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C16orf70,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C19orf12,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C19orf25,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C1orf122,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C1orf43,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C1orf50,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C1orf56,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C1QBP,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C6orf136,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C8orf33,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C9orf16,NA,eIF4E activated translation,PMID 41102449,homo sapiens
C9orf78,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CA2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CALM3,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CAPG,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CAPNS1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CAPZB,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CARHSP1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CARM1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CBLC,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CBS,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CBX5,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCDC32,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCDC43,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCDC8,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCDC84,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCHCR1,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCM2,NA,eIF4E activated translation,PMID 41102449,homo sapiens
CCNI,NA,eIF4E activated translation,PMID 41102449,homo sapiens
