db_gene_symbol,ensembl_gene,gs_name,gs_description,gs_source_species
RND3,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
RNF13,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
RPAP3,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
RSL24D1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
RSRC1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SCAMP1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SCFD1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SCOC,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SEC63,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SEMA3E,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SEPTIN7,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SGCE,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SHOC2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SKIL,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SLC30A1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SLC7A11,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SLK,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SMC6,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SNAPC1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SNX14,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
STAG2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
STK38L,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
STX7,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
STXBP3,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
SYCP2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TAF1A,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TAX1BP1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TBC1D15,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TBC1D23,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TBC1D8B,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TBK1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TCEAL9,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TENT2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TFPI,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
THAP9-AS1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
THNSL1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
THOC1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TM9SF3,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMA16,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMED7,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMEM267,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMEM30A,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMEM41B,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMEM47,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMEM87B,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TMTC3,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TNFAIP8,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRHDE,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRMT11,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRMT1L,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRPA1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRPC1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRPS1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TRUB1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TTC26,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TTC33,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
TTK,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
U2SURP,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UACA,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UBXN4,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UCHL5,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UFL1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UGGT2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
UPRT,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
USO1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
USP15,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
USP8,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
VAMP4,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
VAMP7,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
VEZT,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
VPS26A,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
VRK1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
WASHC4,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
WBP4,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
WDR75,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
XRCC4,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZBED5,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZDHHC13,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZFAND1,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZFAND6,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZFP14,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZMPSTE24,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF146,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF260,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF567,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF569,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF644,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZNF670,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZRANB2,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ZWILCH,NA,phospho eIF4E activated translation,PMID 41102449,homo sapiens
ADCY3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ADCY9,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ARHGAP17,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ARHGEF17,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ATP6,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ATP8,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ATXN1L,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
BAZ2A,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
C21orf58,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
C4orf48,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CANT1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CCDC85B,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CENPBD1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CEP250,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CHD8,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
COX1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
COX2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
COX3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CSNK2A2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
CYTB,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
EPN1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
FAM20C,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
FTH1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
FTH1P3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
FURIN,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
GAS2L1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
GID8,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
GRAMD1A,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
HYAL2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
IP6K1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ITPK1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
KMT2A,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
MAST2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
MIR12136,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
NACC2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND4,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND4L,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND5,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ND6,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
NEU3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
NT5DC2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
NUAK1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ODC1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
POMGNT1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
POMZP3,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
PPP6R2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
PTPRA,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
RXYLT1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SBF1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SCAI,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SEMA3F,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SLC25A10,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SLC66A2,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SLC7A6,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
SPINDOC,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ST3GAL4,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TMEM164,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TPST1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TRIM26,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TSC22D4,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TSPAN17,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TUBB8,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TUBB8B,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
TYSND1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
UBE2S,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
UBTD1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
UCK1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
UNC119,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
URB1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ZNF142,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ZNF530,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ZZEF1,NA,phospho eIF4E suppressed translation,PMID 41102449,homo sapiens
ACAA2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ACSF3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ANAPC15,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ANP32E,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ANTKMT,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
AP4B1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
APH1B,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
APMAP,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ARL16,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ARPC5,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ARSB,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ATG7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ATP11B,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ATP6V0B,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
AURKAIP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
B3GALT6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BAG4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BAIAP2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BCAT1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BCCIP,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BCS1L,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BIN1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BOP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BRI3BP,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BRMS1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
BRPF1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
C21orf91,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CALD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CCNF,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CD63,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CDC42SE2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CDC45,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CDK11B,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CDK2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CDKN2A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CEP152,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CHD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CHD3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CHMP3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CLIC1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CLUH,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
COLGALT1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CORO1C,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
COX7C,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CPD,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CREBZF,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
CRYZ,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DAPK1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DCAF7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DDR1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DEDD2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DESI2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DHRS4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DHTKD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DHX16,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DMAP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DMTF1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DNAJB6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DNLZ,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DUT,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
DYNLT3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ECD,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EEF1E1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EIF1AD,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EIF3E,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ELL2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ELOC,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ELP5,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EMC4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EMG1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EPHB4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ESF1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ESRRA,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ETS1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EXOSC6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
EXOSC7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FADS1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FAM136A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FASN,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FBN2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FBXL15,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FBXO45,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FBXW5,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FBXW8,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FDPS,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FHL1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FHL2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FIBP,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FKTN,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FOXJ3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FOXK2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FOXP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
FRMD6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GABARAPL2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GALNT6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GET3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GGCX,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GJC1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GMPS,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GPATCH2L,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GPN2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GPR108,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GPRC5A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GRPEL2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GSR,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
GTF2H3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H2AC15,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H2AC20,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H2AC4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H2AC8,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H3C1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H3C13,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C14,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C5,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C8,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
H4C9,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HARS2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HAUS2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HDGF,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HDGFL2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HECTD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HIPK1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HMOX2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HNRNPC,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HNRNPL,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HS6ST2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
HSD17B12,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IBTK,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IER3IP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IFRD2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IMPA1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
INPP4A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
INTS11,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IPO4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IRAK1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
IRGQ,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
JADE1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
JRK,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KANK2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KCTD10,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KHNYN,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KIF21A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KIF23,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KLHL8,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KSR1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
KXD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
L1CAM,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LAGE3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LARP4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LCOR,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LDLR,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LMAN2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LMAN2L,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LMNB2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LONP1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LSM7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LYPLA1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
LYRM7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MBNL1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MDH1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
METTL26,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MIA3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MICAL3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MIDN,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MIEF1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MORF4L1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MPDU1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MPZL1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MRE11,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MSRB1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MTCL1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
MTX3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NADK,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NDUFAF8,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NDUFC2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NDUFS6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NDUFS7,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NECTIN2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NIPA2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NMNAT1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NOL3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NOL6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NPM1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NR1H3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NR2F6,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NUP42,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NUP50,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
NXN,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
ODC1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
OLFM1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
OS9,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
OSBPL10,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
OST4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PAIP2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PAK4,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PAWR,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PBRM1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PCMTD2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PDCD2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PDE10A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PDK1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PDLIM5,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PFKM,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PIMREG,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PIP5K1A,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PLEC,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PLOD1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PLPP2,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PMEPA1,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
PMP22,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
POLD3,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
POLR2E,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
POLR2K,NA,DHX9 KD activated translation,PMID 41102449,homo sapiens
